Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Very Good,"entry was not good, can have some glass, tea, coffe as complimentary as its very common now.",loc was outstanding,8.0,July 2024,"July 6, 2024",Double or Twin Room,1,Family,7.4,0,0,0,0,0,0,0,0,0,0
Good for one night.,Maze corridors and ambience.,"Location, clean.",7.0,June 2024,"July 3, 2024",Small Double Room,1,Solo traveler,7.4,1,0,0,0,0,0,0,0,1,0
Good,plumbing in the room + lack of natural light,proximity to station,7.0,July 2024,"July 2, 2024",Double or Twin Room,1,Family,7.4,0,1,0,0,0,0,0,0,1,0
nice staff and good location,drain smelt very strongly,Really good location next to train and metro station,8.0,June 2024,"July 1, 2024",Small Double Room,3,Couple,7.4,0,0,0,0,0,0,0,0,1,0
Pleasant,,Great location. Lovely staff. King size bed made of 2 x singles comes apart. No tea/ coffee facilities in room. Shower is hazardous.,6.0,July 2024,"July 1, 2024",Small Double Room,1,Couple,7.4,1,0,1,0,1,0,0,0,1,0
They need to improve a lot things because they are in a good location,"The shower was plug and the toilet can’t flushing sometimes , the ac no cooling the hole room and they not changing the towels too much and toilet paper is limited",They need to improve the cleaning in the hallways and better improve the utility like bathroom,6.0,June 2024,"June 30, 2024",Superior Double or Twin Room,4,Family,7.4,1,1,0,1,0,0,0,0,0,0
I liked the location. The reception staff were polite and helpful especially Lorenzo. Housekeeping was efficient.,"There is no telephone in the room so when I needed anything or had a question, I needed to go to the reception. There was no box tissue, hair conditioner  in the bathroom.",Good location near Roma Termini.,8.0,June 2024,"June 29, 2024",Double or Twin Room,2,Couple,7.4,0,1,0,0,0,0,0,0,1,0
Very Good,Difficult to open the door,Close to train station,8.0,June 2024,"June 26, 2024",Small Double Room,2,Couple,7.4,0,0,0,0,0,0,0,0,0,0
Very Good,"There was no Wi-Fi in the room ( we had a room on 6th floor) and it was hot, although we turned it on, it did not work all the time. We ordered a double room, and we had 2 beds connected, which slightly reduces comfort because my husband kept falling into the hole between the beds","Friendly staff, the hotel is located near the train station, good breakfast",8.0,June 2024,"June 24, 2024",Small Double Room,3,Couple,7.4,0,1,0,0,1,0,1,0,0,0
We enjoyed the hotel location and staff and would stay again.,AC didn’t cool the room well.,Very clean and across from termini.,8.0,June 2024,"June 24, 2024",Superior Double or Twin Room,2,Family,7.4,1,1,0,0,0,0,0,0,0,0
Very Good,,The location was really close to Termini.  The rooms were nice enough.,8.0,June 2024,"June 23, 2024",Single Room,2,Solo traveler,7.4,1,0,0,0,0,0,0,0,1,0
Very Good,Didn’t like having to climb into the bath to have a shower. Being an older traveller I would request a room with a separate shower next time. The door was hard to unlock and had to get help and be shown the trick. Hotel is a bit tired and corridors could do with a fresh coat of paint and better signage to find your room.,The hotel is very easy to get to from Roma Termini and there are lots of reasonably priced restaurants nearby. The staff were very friendly and helpful. Got me a taxi at 4am. The room was very quiet and breakfast was good despite the coffee machines being out of order. I have stayed at this hotel 3 times now and if ever in Rome would stay there again.,8.0,June 2024,"June 23, 2024",Small Double Room,1,Solo traveler,7.4,1,1,0,0,1,0,1,0,0,0
Weekend business trip,"Well in Juni it's quite hot, but the room offers you air conditioning, but it was quite loud,kinda like a washing machine, and i was little bit disturbed by the bathroom as i could see some molding happening around the shower , and the floors were quite sticky. But everything else was good.","The price and the location of the hotel were perfect, you are literally staying across the road of the Termini, The staff was very hard working and nice, The hotel room was lovely , i had a free upgrade to a superior room so that earned an extra point.",8.0,June 2024,"June 22, 2024",Small Double Room,1,Couple,7.4,1,1,0,0,1,0,0,0,1,0
Good,Breakfast started too late,convenient,7.0,June 2024,"June 21, 2024",Single Room,1,Solo traveler,7.4,0,0,0,0,0,0,0,1,1,0
Don’t stay here in the summer! But any other time of year is great!,The AC didn’t work!,The hotel staff was super nice. It was across from the Termini station so it was super easy to find. 24 hour front desk was a bonus,7.0,June 2024,"June 19, 2024",Small Double Room,1,Family,7.4,0,0,0,0,1,0,0,0,0,0
Good,air conditioning could have been better.,i will just say i will stay here again. loved the access to train station.,7.0,May 2024,"June 19, 2024",Small Double Room,2,Couple,7.4,0,1,0,0,0,0,0,0,0,0
Great for the short time I was in Rome!,,"This hotel is so convenient for the station and the tourist sites,  everything I needed was close by- historical attractions but also a laundromat, that was affordable, a pharmacy and post office! The staff were friendly and accommodating to requests.",8.0,June 2024,"June 17, 2024",Small Double Room,1,Solo traveler,7.4,0,0,0,0,1,0,0,0,1,0
"Comfortable, value for money hotel in excellent location for train travel",No tea or coffee making facilities,Very friendly and helpful staff. Excellent location for catching the train.,8.0,June 2024,"June 15, 2024",Superior Double or Twin Room,1,Couple,7.4,0,0,0,1,1,0,0,0,1,0
You get what you pay for.,It’s dated. Under renovation.,"Very close to Rome Termini.
Good breakfast.",6.0,June 2024,"June 14, 2024",Double or Twin Room,1,Couple,7.4,0,0,0,0,0,0,1,0,0,0
Pleasant,"Find the room is not easy, some building doors are broken.
A very bad smell in all the room.
Price too high for a single night.","Position, staff, bed and bathroom. Everything was clean.",6.0,May 2024,"June 13, 2024",Small Double Room,1,Couple,7.4,1,1,0,1,1,0,0,0,0,0
Good,the ratio price-quality is too high considered that the rooms are quite aged,excellent location at a few minutes from the main railway station Roma Termini,6.0,June 2024,"June 13, 2024",Small Double Room,1,Solo traveler,7.4,0,1,0,0,0,0,0,0,1,0
Very conveniently located,No lock on the inside of the door. No kettle,Really close to the station,8.0,June 2024,"June 12, 2024",Double or Twin Room,2,Solo traveler,7.4,0,0,0,0,0,0,0,0,0,0
Pleasant,Molds in the comfort room and in the wall on the left side of the bed.,They clean the room everyday,6.0,June 2024,"June 12, 2024",Double or Twin Room,4,Couple,7.4,1,1,0,0,0,0,0,0,0,0
Helpful and friendly staff,Nil,Great location,8.0,June 2024,"June 8, 2024",Small Double Room,1,Couple,7.4,0,0,0,0,0,0,0,0,1,0
perfect for short stay,,"perfect location , nice breakfast",8.0,June 2024,"June 7, 2024",Small Double Room,2,Couple,7.4,0,0,0,0,0,0,1,0,1,0
