Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Excellent stay in Bangkok,would be great to prohibit the camera at the swimming pool. some guest are taking too much photo shooting... uncomfortable.,"this stay was 3rd time, same with previous visiting, the stuff was very kind and helpful. the location is also great for shopping, or eating. very happy to book again.",10.0,July 2024,"July 17, 2024",Family Room,3,Family,9.2,0,0,0,1,1,0,0,0,1,0
Exceptional,,"The staff were incredibly helpful and attentive. The facilities were clean and enjoyable. The bed was big and very comfy!! Great location, train station and large shopping centre nearby.",10.0,July 2024,"July 17, 2024",Executive Room,2,Couple,9.2,1,0,1,0,1,0,0,0,1,0
"Very, very nice hotel in central Bangkok.",,"Very central location, just a short walk from the BTS and metro station. Only enjoyed the pool for a short swim, so unfortunately had no time to see the rest of the facilities. Nice rooms with a breathtaking view over BKK.",9.0,July 2024,"July 15, 2024",Executive Room,2,Solo traveler,9.2,1,0,1,0,0,0,0,0,1,0
Chosen it again and we will do it again soon 👌🏼,"Breakfast could be more varied
Value and price isn’t good","Everything 🙌🏻
Clean. Nice stuff. Modern and comfy facilities",10.0,July 2024,"July 15, 2024",Deluxe Room,4,Group,9.2,1,0,1,0,0,0,0,1,0,0
Best of the best...a stay in Bangkok..Carlton,?,"The staff is exceptional! Upon entry, NaN at the front desk made us feel comfortable as she tended to our needs.
Fan,Wara,Jack,and Peeraya were so eager to assist us in the requested service. There were so many others as well! Thank you all. 
Our room was super sanitized, and the hallways and pool areas were well maintained. The interior of the lobby is quiet, elegant decor, with a relaxed vibe. The workout area is clean and organized. Staff concierge was super helper and polite.
I think this is our 3rd or fourth stay at Carlton from the USA. We would not stay elsewhere! See you next week....and for years to come! Bravo......
Steven Carl Vavra USA",10.0,July 2024,"July 10, 2024",Deluxe Room,8,Couple,9.2,1,0,1,0,1,0,0,0,0,0
Excellent,,Amazing breakfast!!!! The location where I wanted to stay. Excellent staff specially room attendant Kat!! concierge Jack and all the team.,10.0,July 2024,"July 7, 2024",Carlton Club Room,2,Couple,9.2,1,0,0,0,1,0,1,0,1,0
Exceptional,"Traffic gets really bad during rush hour since it's located on the main street, but can't really avoid it.",Staff went above and beyond with everything and made my stay very enjoyable. Room service food was also pretty decent.,10.0,June 2024,"July 4, 2024",Deluxe Room,4,Couple,9.2,1,0,0,0,1,0,1,0,0,0
Great place to stay in Bangkok,Price/quality for breakfast,"Confort in a great location and personnel is smiling, welcoming",8.0,July 2024,"July 3, 2024",Deluxe Room,5,Solo traveler,9.2,0,0,0,0,0,0,0,1,1,0
"Excellent staff, facilities, food and location",The coffee was a bit meh,"Location was very central and close to a major train line and shopping centre. Breakfast was amazing. The staff were kind, intelligent, friendly and helpful. The facilities were excellent",10.0,June 2024,"July 2, 2024",Carlton Club Room,6,Couple,9.2,0,0,1,0,1,0,1,0,1,0
Great value for BKK,Nothing,"Clean, newly renovated and great location",10.0,June 2024,"July 1, 2024",Deluxe Room,1,Couple,9.2,1,0,0,0,0,0,0,0,1,0
Exceptional,,"Location, room, friendly staff",10.0,June 2024,"June 29, 2024",Carlton Club Room,3,Solo traveler,9.2,1,0,0,0,1,0,0,0,1,0
Exceptional,,Very nice staff. Had a good welcome.,10.0,June 2024,"June 29, 2024",Family Room,1,Family,9.2,0,0,0,0,1,0,0,0,0,0
Great value for business travellers,,"Offers everything I need when travelling and close to all other
Er facilities.",9.0,June 2024,"June 28, 2024",Executive Room,6,Solo traveler,9.2,0,0,1,0,0,0,0,0,0,0
Nice clean and comfortable place to stay in.,"The breakfast buffet was good but I would recommend to add more variety of food specially Halal food.
Also there is a spa called ""let's relax"" on the top floor which is amazing, loved the whole experience in the hotel.","The place looks new and super clean
Also terminal 21 is 8 minutes walk from the hotel
On the right side and on the left The EmQuartier also 8 minutes walk .",10.0,June 2024,"June 28, 2024",Executive Suite,4,Couple,9.2,1,0,0,1,0,0,0,1,0,0
"Good hotel , ideally located.","I found myself needing plug points behind the luggage rack or in the hallway.

The AC settings didn't seem to work properly. There was hardly any difference in the fan speed between LOW and HIGH. Setting the temperature to 22 didn't make any perceptible difference from when it was set to 25. This made it a little hot under the blankets at night.","Location is optimal. It being on a central street makes other areas easily accessible. However due to the traffic during peak times, it sometimes took longer than expected to get a Grab taxi. 

Rooms: very modern, sleek, minimalist. They had ample of space and the placement and allocation of space and furniture worked very well for us.

Tuxedo coffee bar: Great service and even better coffee. I got an Americano made with high quality beans. Ample of seating.

Staff: Courteous and helpful. Both nights, we found the front desk, concierge, etc unmanned post 10-11pm. At least 1 person should have been there should the need for help have arisen.",8.0,June 2024,"June 27, 2024",Executive Room,2,Couple,9.2,1,0,1,0,1,0,0,0,1,0
Wonderful,"Traffic jam, as expected","Convenient location 
Clean place
Nice and attentive staffs",9.0,June 2024,"June 27, 2024",Deluxe Room,6,Group,9.2,1,0,0,0,1,0,0,0,1,0
Loved my staff,,Clean rooms and very friendly staff,9.0,June 2024,"June 24, 2024",Executive Room,3,Couple,9.2,1,0,0,0,1,0,0,0,0,0
Would recommend for a stay in Bangkok,Nothing,"Very clean. Air con was great, rooftop bar lovely and great gym. Great location.",8.0,June 2024,"June 19, 2024",Deluxe Room,2,Couple,9.2,1,0,1,0,0,0,0,0,1,0
Great hotel in the centre of Bangkok,Nil,Great location . Really nice staff,10.0,June 2024,"June 18, 2024",Deluxe Room,3,Solo traveler,9.2,0,0,0,0,1,0,0,0,1,0
A must,,"The staff are very professional, the mattress and bed linen are very comfy.
It’s very well located as well, highly recommended 5 stars hotel.",10.0,June 2024,"June 18, 2024",Deluxe Room,4,Couple,9.2,1,0,0,0,1,0,0,0,0,0
Excellent stay.,Outside lots of traffic. Not in our hands though,Rooms were super comfortable. Good ambiance,10.0,May 2024,"June 17, 2024",Deluxe Room,3,Family,9.2,1,0,0,0,0,0,0,0,0,0
Exceptional,,"The location was very well placed for exploring the city especially the night life. The breakfast cafe was simple, a bit pricey but good value for money.",10.0,April 2024,"June 17, 2024",Executive Room,1,Solo traveler,9.2,0,0,0,0,0,0,1,0,1,0
Location Location Location,,Hotel was clean. The room was on the higher floors. Room and bathroom were very spacious.,9.0,June 2024,"June 17, 2024",Executive Room,3,Group,9.2,1,0,1,0,0,0,0,0,0,0
off season but good value,no obvious gluten free choices,"pool and gym were excellent.
pool especially

breakfast was good",8.0,June 2024,"June 16, 2024",Deluxe Room,1,Solo traveler,9.2,0,0,1,0,0,0,1,0,0,0
Great experience,Bathtub water is not warm,"Good location, comfy bed and friendly staff, especially POPPY, NUENGY, AMMU. They were helping me to contact grab driver and found my lost phone.",9.0,June 2024,"June 15, 2024",Deluxe Room,3,Couple,9.2,1,0,0,0,1,0,0,0,1,0
Fantastic Hotel,"Really minor point due to personal preference, coffee at breakfast was not tasty.","Staff were so freindly and helpful,  made feel so welcomed and valued. The guys at the door entrance in particular were so nice and treated us like VIPs",9.0,June 2024,"June 13, 2024",Carlton Club Room,3,Couple,9.2,0,0,0,0,1,0,0,1,0,0
Exceptional,,Very friendly stop and perfect location,10.0,May 2024,"June 11, 2024",Carlton Club Room,2,Family,9.2,0,0,0,0,1,0,0,0,1,0
awesome staff great motel can’t wait to come back!,,awesome staff great facilities walking distance to everything. can’t wait to come back!,10.0,April 2024,"June 11, 2024",Deluxe Room,1,Couple,9.2,0,0,1,0,1,0,0,0,0,0
Perfect in every way,Nothing,We have stayed here so many times as our favourite hotel in Bangkok. The club lounge is small but service good and great cocktails. Nice view of the sunset. We will be back again soon.,10.0,June 2024,"June 11, 2024",Carlton Club Room,3,Couple,9.2,0,0,1,0,1,0,0,0,1,0
