Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Great experience!,,"Great! A very comfortable option (really) near Santiago Airport. Gentle staff, nice accommodations and a perfect bedroom!",10.0,June 2024,"July 15, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,1,0,0,0,0,0
Exceptional,,Everything was great. I liked the complimentary shuttle to and from the airport.,10.0,June 2024,"July 12, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,0,0,0,0,0,0,0,0,0,0
Exceptional,The time we arrived at the restaurant was its closing time and so we were turned away.  We were not late and we had room service but this seemed strange if there is one kitchen.,"The location and efficiency of service.  Shuttle to airport.  Pool was great and breakfast was, adequate.",10.0,July 2024,"July 11, 2024",Deluxe Family Room - Mobility Access/Non-Smoking,1,Family,8.8,0,1,0,1,1,1,1,1,1,0
Good hotel,Reception staff on arrival unpleasant and rude.,Clean and spacious,9.0,July 2024,"July 11, 2024",Deluxe Family Room - Mobility Access/Non-Smoking,1,Solo traveler,8.8,1,0,1,0,0,1,0,0,0,0
It was a lovely place to relax before our early morning flight. The beds were very comfortable. The free transfer from &,,It was close to the airport and very comfortable & relaxing before our early morning flight.,9.0,July 2024,"July 10, 2024",Queen Room with Two Queen Beds - Non-Smoking,2,Couple,8.8,0,0,0,0,0,0,0,0,0,0
Clean&comfortable,No coment,The comfort of the bed,8.0,July 2024,"July 10, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,0,0,0,0,0,0
Great option for short stays,,"Close to the airport, free shuttle, great breakfast",10.0,June 2024,"July 6, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,0,0,0,0,0,0,1,0,0,0
very good customer service,"restaurante is very good, but I think it’s a little expensive","cleaned   I got my room before check inn time , it was great",10.0,July 2024,"July 4, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,0,0,0,1,0,0
Everything great. Nice attention from the staff and everything well organized.,,The free shuttle to and from the airport. Very convenient for flight connection.,10.0,July 2024,"July 2, 2024",King Room - Non-Smoking,1,Couple,8.8,0,0,0,0,0,0,0,0,1,0
Very Good,The air condition i a bit loud.,"Price and quality of the room is optimal. The personal is friendly and helpful.
Breakfast is well diverse and good quality. The location is perfect if you need to go to the airport.",8.0,June 2024,"June 28, 2024",King Room - Non-Smoking,1,Couple,8.8,1,1,0,0,1,0,1,0,1,0
Wonderful,N/a,Location space and free shuttle bus,9.0,June 2024,"June 27, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.8,0,0,1,0,0,0,0,0,1,0
Wonderful,The wifi connection was too bad,,9.0,June 2024,"June 27, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,0,0,0,1,0,0,0,0,0,0
Very comfortable stay with free shuttle to airport,,Great airport hotel with good facilities for an overnight stay. Ordered room service which was also reasonably priced and good.,8.0,June 2024,"June 25, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,1,0,1,0,1,0,1,0,0,0
Comfy and close to airport,,Very comfy and the free airport shuttle was great!,10.0,June 2024,"June 22, 2024",King Room - Non-Smoking,1,Family,8.8,0,0,0,0,0,0,0,0,0,0
Awesome.,,Proximity to airport. Friendly and helpful staff. Very clean and large (space-wise).,10.0,June 2024,"June 20, 2024",Deluxe Family Room - Mobility Access/Non-Smoking,1,Solo traveler,8.8,1,0,1,0,1,0,0,0,1,0
Wonderful,,Excelente,9.0,June 2024,"June 20, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,0,0,0,0,0,0,0,0,0,0
An wonderful experience,Nothing,The service of receptionist and the shuttle bus service.,10.0,June 2024,"June 17, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.8,0,0,0,0,1,0,0,0,0,0
Exceptional,"The hall rug makes it difficult to roll bags 
I have a cane and was given the farthest room from the elevator making it difficult after a long day of travel.",The bed was comfortable. It was close to the airport.,10.0,June 2024,"June 16, 2024",King Room - Mobility Access/Non-Smoking,1,Family,8.8,1,1,0,1,0,0,0,0,0,0
Exceptional,Little variety in room service,"Nice staff ,  comfy rooms.",10.0,June 2024,"June 9, 2024",King Room - Non-Smoking,1,Group,8.8,1,1,0,0,1,1,0,1,0,0
Extremely comfortable,All good,Free airport shuttle. Big well appointed room. Great dinner and breakfast.,10.0,June 2024,"June 9, 2024",King Room - Non-Smoking,1,Couple,8.8,1,0,0,0,0,0,1,0,0,0
Top Location,i think they should include a locker space to help gests left things between flights.,Location is the best. near the aiport and very helpful to pick flights on my travel.,9.0,April 2024,"June 8, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,0,0,0,1,1,0,0,0,1,0
Excellent hotel when you have a flight the next day,"Neither front desk or restaurant had change for the vending machines, to buy some water.","Swimming pool was great. Beds and shower were top notch.
Shuttle service was very handy as well.",9.0,May 2024,"June 7, 2024",King Room - Non-Smoking,1,Family,8.8,1,0,1,0,1,0,0,1,0,0
Wonderful,,Great value for money close to the airport,9.0,April 2024,"June 1, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.8,0,0,0,0,0,0,0,0,0,0
I would definitely recommend this hotel.,Bed is a little too soft for me. Also the room smelled strongly like it had just been painted.,The shuttle service is excellent.,8.0,May 2024,"June 1, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Couple,8.8,0,1,0,0,1,0,0,0,0,0
Nice stay,,Rare facility of laundry machine,10.0,April 2024,"May 28, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,0,0,1,0,0,0,0,0,0,0
Exceptional,Restaurant was OK,"Location, complimentary shuttle to and from airport, and comfortable mattress.",10.0,May 2024,"May 25, 2024",King Room - Non-Smoking,1,Couple,8.8,0,0,0,0,0,0,0,1,1,0
Exceptional,There is nothing to criticize,Everything was great!,10.0,May 2024,"May 24, 2024",King Room - Non-Smoking,1,Family,8.8,0,0,0,0,0,0,0,0,0,0
Great option near airport with superb breakfast.,,"Practical option near the airport - very new, clean, roomy and has a free airport shuttle. Made our overnight stay in Santiago Airport very easy and comfortable. Great breakfast too.",10.0,April 2024,"May 24, 2024",King Room - Non-Smoking,1,Couple,8.8,1,0,0,0,0,0,1,0,0,0
