Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Thouroughly enjoyed it and would recommend,nothing,Everything. The staff were friendly and courteous and on leaving arranged a Grabb.,9.0,June 2024,"June 21, 2024",Superior Twin Room,1,Solo traveler,8.2,0,0,0,0,1,0,0,0,0,0
Excellent Location,Hairdryer is too short,"Excellent location, 5 minutes away from the airport .
Friendly & very accommodating staffs.
Well done guys 👍",9.0,June 2024,"June 17, 2024",Queen Room,1,Couple,8.2,0,0,0,0,1,0,0,0,1,0
Very convenient for an overnight stay in transit in Manila.,The breakfast was a bit manic and there were a few things not available. The omelettes were precooked when we got there at 0830. We had to ask for them to be put on the hot plate to be warmed up. The staff in the cafe were lovely and we were made a great cappuccino!,Very convenient for a 1 night stay in transit. Across the road from Manila airport. Easy to reach by walking.,8.0,June 2024,"June 15, 2024",Superior Queen Room,1,Couple,8.2,0,0,0,0,0,1,0,1,1,0
Comfortable stay,No slippers inside the room,"Walking distance to the airport esp NAIA 3,if you have no luggage you can just walk going to the airport. With so many shops around for food, etc.",8.0,May 2024,"June 7, 2024",Superior Twin Room,1,Family,8.2,0,1,0,0,0,0,1,0,0,0
Meets expectations- except slow sink drain,Sink always clogged or  drain slowly,Accessibility to terminal. Pool area and grill event. Breakfast is quite good,7.0,May 2024,"May 29, 2024",Superior Queen Room,2,Couple,8.2,0,0,0,0,0,0,1,0,0,0
Very Good,None,"Staff were friendly, very helpful, and quick to respond to request/needs. Location is great, easy access to the Airport Terminal.",8.0,April 2024,"May 27, 2024",Superior Twin Room,1,Solo traveler,8.2,0,0,0,0,1,0,0,0,1,0
Perfect for a night over between flights in Manilla.,"They send you a lot of messages for check in and check out, but you still got to do it for real afterwards... Don't get it.","Neat location just next to the passage way leading to the airport terminal 3. Very clean, confortable, ac and wifi working.",8.0,May 2024,"May 26, 2024",Superior Queen Room,1,Couple,8.2,1,0,1,0,0,0,0,0,1,0
A handy venue to stopover,I like all,Convenient to T3 and Casino,8.0,May 2024,"May 21, 2024",Superior Queen Room,2,Couple,8.2,0,0,0,0,0,0,0,0,1,0
Wonderful,Pet policy,Location to airport and breakfast,9.0,May 2024,"May 21, 2024",Family Room,1,Group,8.2,0,0,0,0,0,0,1,0,1,0
Well worth it for location and convienence,There is nothing that I can say bad about the property,A quick walk from NAIA Terminal 3. Well worth it considering the traffic. Landed at 23:30 was in my room by 00:15,9.0,May 2024,"May 19, 2024",Deluxe Queen Room,7,Couple,8.2,1,0,0,0,0,0,0,0,0,0
Convenient Hotel Stay Near NAIA T3,The room we booked was on the 8th flr and it was a little tight for even 2 petite persons. The same goes with the bathroom space.,Very close to T3 which was our airport of departure. We only had to walk and it is located in the Newport City so lots of places to eat around. Good security within the hotel. Buffet breakfast had a good variety of options to choose from.,9.0,May 2024,"May 17, 2024",Deluxe Twin Room,1,Family,8.2,0,1,0,1,0,0,1,0,0,0
Wonderful,,Breakfast was great.,9.0,May 2024,"May 16, 2024",Superior Queen Room,1,Couple,8.2,0,0,0,0,0,0,1,0,0,0
For an overnight stay between two flights simply perfect.,The rooms seem to be not nicely maintained. Holder for the shower loose and such small things. Nothing really important but leaves a bad impression.,The new bridge from terminal 3 to the hotel is perfect. No Taxi needed anymore,8.0,May 2024,"May 15, 2024",Superior Queen Room,1,Couple,8.2,0,1,0,0,0,0,0,0,0,0
We had a great stay at Belmont. No stress getting to Terminal 3. Staff member even helped us with our luggage and drop u,,"5 mins walk to terminal 3. Super easy to get there. 
Staff’s member are ALL very attentive, helpful, friendly and kind.",9.0,May 2024,"May 15, 2024",Superior Queen Room,1,Couple,8.2,0,0,0,0,1,0,0,0,0,0
Wonderful,,close to airport skyway super convenient,9.0,April 2024,"May 13, 2024",Superior Twin Room,1,Couple,8.2,0,0,0,0,0,0,0,0,1,0
Wonderful,No slipper use inside the room for the guest.,Very clean and very comfortable.,9.0,May 2024,"May 8, 2024",Superior Queen Room,1,Couple,8.2,1,1,0,0,0,0,0,0,0,0
Very convenient stay over between international and domestic flights.,No particular criticisms.,"Enjoyed the breakfast. 
Location close to NAIA was very convenient.",9.0,May 2024,"May 7, 2024",Superior Twin Room,1,Couple,8.2,0,0,0,0,0,0,1,0,1,0
Perfect stay and location.  Definitely will come back and stay again.,nothing at all,close proximity to the airport.  Wonderful staff and excellent breakfast.,9.0,April 2024,"May 4, 2024",Queen Room,1,Solo traveler,8.2,0,0,0,0,1,0,1,0,1,0
Had to stay at the hotel as my cases were delayed I ended up going back to the hotel and staying extra nights staff very,,Very clean good location,9.0,April 2024,"May 4, 2024",Deluxe Twin Room,1,Solo traveler,8.2,1,0,0,0,0,0,0,0,1,0
"Outstanding Stay, if you are travelling, this is the perfect place to stay.",None,"Walking distance to the Airport Terminal 3. Just walk across the bridge and the hotel is right there. Staff are very friendly and helpful. Also is walking distance to the Casino. Lastly, the price is cheaper than the rest of the Hotels nearby.",9.0,April 2024,"May 2, 2024",Deluxe Queen Room,1,Family,8.2,0,0,0,0,1,0,0,0,0,0
"Outstanding Stay for a short period of time. If you are travelling, this is the best place to stay.",None,"The location is perfect for travelling, walking distance from Terminal 3, just walk across the bridge. The price is cheaper than mostly Hotel nearby the airport. Also walking distance to the Casino.",9.0,April 2024,"May 2, 2024",Superior Twin Room,1,Couple,8.2,0,0,0,0,0,0,0,0,1,0
Wonderful,,Foods location and staff,9.0,February 2024,"April 25, 2024",Queen Room,2,Family,8.2,0,0,0,0,1,0,1,0,1,0
Very Good,"Breakfast, is OK nothing special, buffet was almost empty at 9am, they filled up but very slowly","Sky bridge, in walking distance from T3
Pool on the roof 😎",8.0,April 2024,"April 25, 2024",Superior Queen Room,1,Family,8.2,0,0,0,0,0,0,0,1,0,0
So far the price for room is okay and I would continue to visit if the price is right,It’s gets pretty busy in the lobby area and trying to getting in and out of hotel with so many people to get around the lobby area could be better.  The X-ray for luggage is excellent but a bit crowded walking thru the door with so many staff in the immediate area..there’s the security guard then there’s two people at the X-ray area and another staff in the area.  The cars are directly parked in front of the entrance to pickup and drop off people and there’s not enough space especially when there’s 3 cars at the same time,they offered local breakfast and western breakfast.  And very delicious,9.0,March 2024,"April 25, 2024",Superior Twin Room,1,Family,8.2,0,0,0,1,0,1,1,0,0,0
"Would happily recommend The Belmont Hotel, as it’s superb!",Nothing to dislike about this property.,"Very clean. The staff were excellent; very professional, helpful and friendly. Within walking distance of Terminal 3, and a short car ride to Terminals 1 & 2. Have stayed here three times and would definitely do so again.",8.0,April 2024,"April 23, 2024",Superior Queen Room,1,Couple,8.2,1,0,0,0,1,0,0,0,0,0
Super!,Nothing.,"Location, nice breakfast , friendly and attentive staff.",9.0,April 2024,"April 20, 2024",Superior Twin Room,1,Family,8.2,0,0,0,0,1,0,1,0,1,0
"The hotel is excellent overall, with convenient access to everything, making it ideal for travelers using Terminal 3. Ad",The bathroom lavatory was clogged.,"Location, if you’re traveling through NAIA T3.",9.0,April 2024,"April 18, 2024",Queen Room,1,Solo traveler,8.2,0,1,0,0,0,0,0,0,1,0
Will stay again.,"Just a suggestion- given this property’s popularity, more staff at the front desk to avoid queues during check-in and check out.","Affordable hotel close to the airport’s foot bridge.
Honest staff who returned my wallet after I checked out.
All staff were kind and fast response to requests.
Clean and comfortable rooms.",9.0,April 2024,"April 17, 2024",Family Room,1,Family,8.2,1,0,0,0,1,1,0,0,0,0
Good hotel across terminal 3,,"I like most the location. I picked up my friend the night before at T3 and we took an early flight the following morning on T3. The walkway from T3 to the hotel was excellent. So, it was very convenient for us to stay in this hotel. Second, were the staff. They were so nice! They even accomodated my request for an early check in. Third, plenty of places to eat nearby. Everything was walking distance! 😊",9.0,April 2024,"April 17, 2024",Superior Twin Room,1,Group,8.2,0,0,0,0,1,0,0,0,1,0
We had a great stay!,Breakfast should be included in all room rates.,Accessible to all! Good location☺️,8.0,April 2024,"April 16, 2024",Deluxe Queen Room,3,Couple,8.2,0,1,0,0,0,0,0,1,1,0
Very Good,"Breakfast was ok, but nothing special. And you always had to ask for bread. Basquet was empty most of the time.","It‘s directly next to the airport.
For one night it was very good. The rooftopbar was amazing.",8.0,April 2024,"April 14, 2024",Superior Twin Room,1,Group,8.2,0,0,1,0,0,0,0,1,0,0
Good place,"Towels are old 
Needs more wash cloth","Great staff
Clean room",7.0,April 2024,"April 14, 2024",Deluxe Twin Room,2,Family,8.2,1,0,0,1,1,0,0,0,0,0
Ideal location is you have an early am flight,The restaurant service is quite slow and this can be difficult especially if you are very hungry. We only had dinner here and the food was good.,Location is walking distance from NAIA airport (Terminals 1 to 3) via Runway Manila bridge. However good to know to get to terminal 4 you need to take transfer bus that can take anywhere between 10-20+ minutes all traffic dependent. Hotel room is neat and cost. Definitely great if you need to be at the airport early. Ideal location - Very close walking distance to other restautants as well as the pharmacy and shopping mall.,8.0,April 2024,"April 12, 2024",Superior Queen Room,1,Couple,8.2,1,0,0,0,0,1,0,1,1,0
Stop over,Nothing,Staff excellent. Especially Noma .,9.0,April 2024,"April 11, 2024",Superior Twin Room,1,Couple,8.2,0,0,0,0,1,0,0,0,0,0
I love this hotel.,Bathroom could be more cleaner. Check-in and check-out could be faster.,Close to the airport. A lot of restaurants around the area. Comfortable beds. Staff is excellent.,8.0,April 2024,"April 8, 2024",Superior Twin Room,2,Solo traveler,8.2,1,1,0,0,1,0,1,0,0,0
Very Good,Cleanliness location,Too small of a room,8.0,March 2024,"April 3, 2024",Superior Twin Room,2,Couple,8.2,1,1,0,0,0,0,0,0,0,1
"Comfortable, and clean",Didn't realize how far it was from terminal 1. No free shuttle to and from airport. Cheapest way to get to hotel from terminal 1 is use Grab. Terminal 3 you can easily walk there.,"Good quality, clean",9.0,April 2024,"April 3, 2024",Superior Queen Room,2,Solo traveler,8.2,1,0,0,0,0,0,0,0,0,0
very good,"The breakfast is not varied enough for Europeans, but it's really just to find something to complain about","Room perfect, very efficient staff.
Just in front of the runway manila access and terminal 3.",9.0,March 2024,"March 30, 2024",Superior Queen Room,1,Couple,8.2,1,0,0,0,1,0,0,1,0,0
Wonderful,Nothing,"Everything, a great stay.",9.0,March 2024,"March 30, 2024",Superior Twin Room,1,Family,8.2,0,0,0,0,0,0,0,0,0,0
"Very good all the emplyees, always smiling",,Good,8.0,March 2024,"March 28, 2024",Superior Twin Room,1,Solo traveler,8.2,0,0,0,0,0,0,0,0,0,0
A great place to stay with nice food.,,Location is wonderful for when you want to be close to the Airport. Lovely staff. Helpful and considerate. Comfortable rooms.,9.0,March 2024,"March 28, 2024",Queen Room,1,Couple,8.2,1,0,0,0,1,0,0,0,1,0
Good value for price paid and within walking distance of airport and Newport Mall for a nt layover,"Rooms are small if you are traveling as a couple or with kids, also wish they had slippers for guests.","Walking distance from the airport (up some escalators, across a bridge, down an elevator and you're at the Belmont), safe and 10-15min walk based on how fast you walk. Room was clean, comfortable for a single traveler and close to the new Newport mall that had plenty of food and shopping (although pricey). Great for overnight stay if you have connecting flight and service from staff was great. Will try the breakfast next time.",8.0,February 2024,"March 27, 2024",Queen Room,1,Solo traveler,8.2,1,1,1,0,1,0,1,0,1,0
