Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"Impeccable service, breathtaking views, great Food!! (Value for Money)",,"I booked a twin and arrived late in the night, past midnight. The place is quite easy to find. The taxis at the airport knew where and how to find it. It's by the road and accessing the entrance was quite easy. Check-in was straight forward at 2:00 AM in the night. The staff were very helpful. They have various payment options.
The room was the exact reflection of the images, it was clean and the bathroom is has most of what you need for the price.
The view from the windows in the morning is great for those that love ocean view.
Breakfast was the best part for me. The food was very tasty and quite a variety to handle almost all nutritional preferences.",9.0,August 2023,"August 28, 2023",Superior Twin Room,1,Family,7.8,1,0,0,0,1,0,1,0,1,0,0.002275523335178013
Very Nice Stay,,"The Staff is Amazing. So nice and Welcoming.
The Breakfast is amazing. So good and fresh.
Very nice room. Very clean.
Perfect location.
I had a great stay. Thank you",9.0,February 2024,"February 24, 2024",Standard Queen Room,3,Solo traveler,7.8,1,0,0,0,1,0,1,0,1,0,0.002275523335178013
Wonderful,All was good!,"Very central, shuttle service was very good organized. 
Nice view from the rooms. Good breakfast.
Very clean, super friendly staff.
Good restaurant!",9.0,May 2024,"June 21, 2024",Standard Queen Room,1,Family,7.8,1,0,0,0,1,0,1,0,1,0,0.002275523335178013
Wonderful,,"My birthday that happened to land on the day we we were checking out was remembered by the hotel with a very delicious birthday cake which was  a nice surprise!
Very friendly staff and good breakfast. Hotel room was very clean. Beautiful view from the room and breakfast area.
I would come again.",9.0,September 2021,"September 11, 2021",Standard Queen Room,2,Family,7.8,1,0,0,0,1,0,1,0,1,0,0.002275523335178013
Good value for money and friendly staff,Maintenance is a bit lacking. Mattress is lumpy and needs to be replaced. We only got two pillows in a double room and there’s normally four. The room has a weird smell. Also blanket is too thin and worn out. Bath towels are too tiny and took forever to come. Water feature and lounge music in lobby are too loud,"Great staff and breakfast buffet. Location is great too, and stunning view of the city from the 18th floor 
Room had all the amenities you would expect.",7.0,January 2024,"January 14, 2024",Standard Queen Room,4,Family,7.8,1,1,0,1,1,0,1,0,1,0,0.0022516915367643844
Well situated and great views,"Noises from the street window hard to close, noises from room next door, low internet, but that's not big deal !","Great location next to center and Indian neighbourhood and restaurant, good views from the room and top floors, very kind staff",8.0,July 2023,"July 8, 2023",Standard Queen Room,2,Family,7.8,1,1,0,1,1,0,1,0,1,0,0.002251691536764384
Wonderful,No alcohol in the restaurant.,"Room was huge with a great view, breakfast had lots of options and hotel staff were very nice.",9.0,September 2023,"September 25, 2023",Standard Queen Room,1,Group,7.8,1,0,0,0,1,0,1,1,1,0,0.0022453434422734972
Good stay !!,restaurant could have been better. I ordered for something and something else was delivred,"Location, room comfort, breakfast, freindly staff",9.0,June 2023,"June 10, 2023",Standard Queen Room,6,Solo traveler,7.8,1,0,0,0,1,0,1,1,1,0,0.0022453434422734972
"I will definitely visit there again. The location, 18floor view and customer service were top notch.",Limited choices of food during breakfast,"The room and view were excellent. I didn't like the limited choices of food for breakfast, but other than that, the hotel is great with service and location.",8.0,February 2022,"February 23, 2022",Deluxe Queen Room - High Floor,2,Group,7.8,1,0,0,0,1,0,1,1,1,0,0.0022453434422734972
"Really nice apartment, friendly staff and great location",The lights in the main bathroom and 3rd room need to be brighter.,"The staff were very friendly and hospitable.  Luqman who was at reception made us feel welcome and went out of his way to arrange for us to have our apartment even after check out time as our flight was in the evening.  We had a 3 bedroom apartment which was extremely spacious with all the necessary amenities in the kitchen.  It was very clean and the maids that came to clean every day did a fantastic job and were so nice and friendly too.  The location was close to the mosque, restaurants and many shops.  The airport was only about 20-30mins away depending on the traffic.",9.0,June 2022,"June 9, 2022",Three Bedroom Family Suite 8th Floor,7,Family,7.8,1,1,1,0,1,0,1,0,1,0,0.0022392481410865566
