Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"Ok for a day, specially if you need be  near to the airport.","The hotel looks good in photos but needs restoration, and needs to be painted. 
Long line for check-in.
There is no fridge in the room.
My room had a strong smell, I don't know what, maybe the carpet or the room needs more ventilation. 
I think the windows do not open. Maybe it is the cause.","There is a shuttle from Airport Terminal 3 to the Hotel, and vice versa. Every 15 or 30 minutes.
The location is perfect for people from Terminal 2. It is in front of.
The room is big and comfy. 
The bathroom is big and clean.",5.0,July 2022,"August 18, 2022",Deluxe King,1,Family,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
"Too expensive, convenient location for early flights.","The interior is very dated and the room was totally overpriced. It was the most expensive hotel of our whole Mexico trip, and while the room was ok, I wouldn't recommend staying there (except if you need access to the airport). 
Also, the hotel called us a taxi for a quick trip to the city. What should have been a 20min drive, turned into an hour of us constantly checking google maps to not get lost – the driver had no idea where he was going. Took him also 15min to get his credit card device working. We exited the taxi 2 blocks early cause we kept driving in circles in the wrong direction. Should have taken an official airport taxi instead of the hotel driver, would have also been slightly cheaper.","We stayed for one night because we had an overseas flight leaving very early in the morning. Biggest asset is definitely the direct access to the airport, you can just walk over a bridge. To mention another positive thing – tap water in the room was filtered, which was very convenient.",5.0,February 2024,"February 26, 2024",Deluxe Queen,1,Couple,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
Wonderful,"Sound isolation is not great. Also, the heating unit was not working in my room. 

The refub rooms are ok, and certainly looks better than few years ago.","I was given several options to choose from in terms if room and location. 

I got one of the renewed rooms. 

Compared to the other hotels around the airport has the highest value per cost.",9.0,January 2023,"January 23, 2023",Superior King Room,1,Solo traveler,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
messy payment and management,they charged me 7 times for two bedrooms and haven’t got my money back.,The rooms and location was great.,8.0,October 2022,"October 4, 2022",Deluxe Queen,1,Family,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
Pleasant,Beds were saggy and well used. Bed linens need updating.,"Convenient for an overnight, connected to the airport. Bathroom was great, nice toiletries.",6.0,June 2023,"June 8, 2023",Superior Double Room,1,Couple,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
Nice stay,"The soundproofing of the room is poor, you can hear planes and vehicular traffic.","Impossible better location, clean and very comfortable room",8.0,March 2024,"March 21, 2024",Superior King Room,1,Solo traveler,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
Exceptional,That my flight got delay and I only spend a few hours there . I love the bed,This is a great hotel to stay for an overnight flight . The bed was very comfortable . Didn’t want to get up but I had an early flight . The hotel is very nice . Don’t listen to the bad review .,10.0,December 2022,"December 28, 2022",Deluxe Queen,1,Solo traveler,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
Not happy with the room and the room location.,Long walk through many different corridors and hard to find room.,"Location was great, but the room was in an old adjacent property and was damp and dark.",4.0,July 2022,"July 31, 2022",Deluxe Queen,1,Couple,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
Good,"There is a very loud carnival Festival on the street next to the north tower which goes the whole night
Most people would not be able to finde sleep during this
The beds are not that comfortable","The location near to the airport
Shuttle to Terminal 2
Clean room and big bathroom",7.0,February 2023,"February 27, 2023",Camino Real Club Two Beds - Breakfast Included for Adults Only,2,Solo traveler,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
"Extremely convenient hotel if you need to stay by the airport, nothing luxurious (despite the price) but quiet, clean an",There was no way to even make a coffee or tea in the room which would have been nice.,"extremely convenient by the hotel, easy check in and check out, good bath/bathroom",7.0,January 2022,"January 16, 2022",Deluxe Queen,1,Solo traveler,8,1,1,0,0,0,0,0,0,1,0,0.0007549094135660926
