Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Pleasant staff great location very clean,,convenient location got off our plane hotel connected straight with our terminal,10.0,December 2021,"January 6, 2022",Deluxe Two Beds,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Stay here only if proximity to the airport is a must.,"Too many people, not comfortable.",Excellent location.,5.0,October 2021,"January 1, 2022",Deluxe King,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,the Internet hardly worked and there was construction going on at least until 2am.,perfect location more or less in Terminal 1,9.0,December 2021,"December 9, 2021",Deluxe Two Beds,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Price-performance ratio not right!,The hotel is getting on in years. Many things are worn out and not up to date.,Location,1.0,December 2021,"December 17, 2021",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Handy,Nothing,Great location for mexico city Airport. Definitely recommend for a stopover. They also have a late check out til 6pm that you can pay for . V handy. Got picked up here for teotihuacan hot air balloon.,10.0,January 2024,"January 25, 2024",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
will repeat,nothing,location,10.0,November 2022,"November 7, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Good hotel at the airport,,Location,8.0,June 2024,"June 5, 2024",Superior Queen Room,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Fair,this is the second time I have stayed at this hotel on a layover. Both times I requested a (very early) wake-up call. The front desk failed to make the call BOTH times. it’s a bit surprising since many guests are waking up early for international flights. i mentioned this to the gentleman at the front desk upon checkout and he did not take it seriously.,location,5.0,September 2022,"September 12, 2022",Deluxe King,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,it is to expensive,the location at the airport is amazing,9.0,December 2021,"December 5, 2021",Camino Real Club Queen - Breakfast Included for Adults Only,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
very disappointed had to wait in line in reception to check in for one Hour,Tired Hotel poor client relationships,proximity to airport,5.0,December 2022,"January 13, 2023",Deluxe Two Beds,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Short stay to make an early morning flight. Great value for the money.,,Incredibly convenient airport location.,10.0,November 2021,"November 30, 2021",Deluxe King,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,"It doesn't come with kettle to boil water, nor a small fridge, no USB wall to plug,  my toilet bowl was choke n was bad, but it was un choke after I called to report.  The concierge called the taxi which cost me 270 peso to go to the city area near the cathedral. But the return trip was only 150 peso via a normal taxi but even more frustrating is the second day I went to the same place at the city cathedral, I got a normal taxi, the driver has no taxi meter n quote me 200 pesos but when I return to the hotel, I took another taxi, this taxi uses a meter n it cost me only 82 pesos..",The proximity to the airport terminal one was excellent with a covered bridge n not too far from city area eg the cathedral.,8.0,August 2021,"August 25, 2021",Deluxe Two Beds,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Convenient,"High Prices, poor maintenance,",Convenient,8.0,August 2023,"August 21, 2023",Superior Queen Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
I would book there again for the convenience of being at the airport,they were doing construction and it was noisy,convenient and comfortable,7.0,October 2022,"November 1, 2022",Deluxe Two Beds,1,Group,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,"More like a three-star hotel. Which is fine, because the price wasn't that of a five-star hotel!",Location was perfect,8.0,October 2022,"November 1, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,Perfect location for a very early flight.,8.0,March 2024,"April 10, 2024",Superior King Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
good location a bit expensive for the few hours we were there.,price,location,8.0,June 2022,"June 30, 2022",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,The dryer wasn't working,Location,9.0,April 2023,"May 14, 2023",Superior Double Room,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Good value,Nothing,"Location, very accesible to the airport",10.0,November 2023,"November 8, 2023",Camino Real Club Two Beds - Breakfast Included for Adults Only,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,Location,8.0,April 2023,"May 2, 2023",Superior Double Room,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Fair,"Overpriced for what you get, especially as they did not honour the cost advertised by booking.com",Perfect location for an early morning flight out of Mexico City,5.0,November 2023,"November 6, 2023",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
It could be better,Poor maintenance and loud,Location,6.0,December 2023,"December 26, 2023",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Poor,"It has not been updated or well maintained, they let it die. Not worth the price, Next time will go to the Marriott",Convenient for the airport,3.0,August 2023,"August 21, 2023",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
airport hotel,bland,location,7.0,November 2022,"November 6, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very good,Nothing,Location,8.0,June 2022,"July 19, 2022",Deluxe Two Beds,1,Group,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
"Excellent.  Stay here at least 2 times a year, sometimes 3.",,Proximity to airport and ease of layover,10.0,August 2023,"October 31, 2023",Superior King Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,Nothing,Location was perfect.,10.0,September 2023,"September 4, 2023",Deluxe Double Room,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,,Location and accessibility to the airport is the best! First time for a next-day flight but expect to have more stays here.,10.0,September 2023,"September 12, 2023",Superior Double Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
good.,,excellent location.,9.0,November 2022,"November 15, 2022",Deluxe Two Beds,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,The ambience had a peculiar smell.,Good location. Convenient when you travel next day.,9.0,December 2022,"December 13, 2022",Deluxe Two Beds,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
very close to airport and ADO bus station,,Location,8.0,November 2022,"November 16, 2022",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
"Great location, very comfortable room, very good restaurants",,Convenient location,9.0,November 2022,"November 17, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,Price,Location,8.0,November 2022,"November 19, 2022",Deluxe Two Beds,2,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Bad,there was ridiculously loud music playing which shook the windows until 3.30am when i rang reception to ask what it was they just said i was a party and it would go on until the morning  - never told this when we booked. No sleep  - never again,convenient to airport,1.0,February 2023,"March 7, 2023",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,"super convenient to airport, very quiet.",8.0,November 2022,"November 19, 2022",Deluxe King,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
good place to stay for a long layover in CDMX,,it was conveniently located near the airport,8.0,November 2022,"November 19, 2022",Deluxe Two Beds,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Excelent Customer Service,,Location,10.0,October 2023,"October 22, 2023",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,,Location connected directly to the Mexico City airport,10.0,October 2021,"November 6, 2021",Deluxe King,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
We always book there when we fly,Nothing,Location and quality,10.0,September 2023,"October 12, 2023",Deluxe Double Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
easy,,location,9.0,October 2022,"November 24, 2022",Deluxe Two Beds,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
convenient and dependable,,the location is perfect,8.0,October 2022,"October 25, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
very convenient while traveling through Mexico City Airport,"it can be nosy, so be sure to take earplugs if that bothers you.",It’s very convenient when traveling. You can walk into the airportor take  a free shuttle,8.0,September 2022,"October 6, 2022",Deluxe King,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
No more thank you,We have used the hotel for fifteen years now and we are always placed in the rear annex and the drains just stink,Location is super for an overnight stop between flights.,5.0,November 2021,"December 5, 2021",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,Not applicable,It’s only property I use when I travel from Mexico City.  The best and so conveniently located practically in the airport,10.0,June 2023,"June 28, 2023",Superior King Room,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Handy,Value for money does not meet the standard. They charge quite a lot for a basically 2 or 3 * hotel,Good location,7.0,August 2024,"August 10, 2024",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
pragmatic and totally mediocre,THE PILLOWS SUCK SUCK SUCK,the location,5.0,January 2023,"January 23, 2023",Deluxe Two Beds,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Disappointing,"Old, tired, needs a good renovation",Location,5.0,August 2023,"September 12, 2023",Deluxe Double Room,3,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Excellent,There a few things,The location,7.0,July 2024,"July 8, 2024",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Disappointing,"I've arranged the hotel for my elderly parents and paid for it in advance. However, when my parents go there, they didn't want to accept the card details I left with Booking.com and rather demanded another card in person to be used for the payment.",Conveniently located hotel.,4.0,December 2022,"January 25, 2023",Camino Real Club Two Beds - Breakfast Included for Adults Only,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
"great service, great location.",,location,10.0,February 2023,"February 18, 2023",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
use it only for a travel distance strategic location emergency,it’s super old and noisy,location is great if you need to walk and be at the airport in less than 5 minutes,5.0,February 2023,"February 21, 2023",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,Everything was perfect.  I usually don't sleep well when I'm not at home but last night I slept like a log.,The location because I had to take an early flight.,10.0,February 2023,"February 25, 2023",Superior King Room,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
oberpriced mediocre,poor value gor money,convenient,4.0,February 2023,"February 26, 2023",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Good,More water no only 2 bottles.,Everything amazing location I don’t need to go out,7.0,March 2022,"March 23, 2022",Deluxe Two Beds,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Bad,Everything else,Location,1.0,November 2021,"November 28, 2021",Deluxe King,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
I will definitely stay there again.,,the location was so convenient. worked out perfect we had a early flight and easy the stress of getting to the airport.,10.0,April 2023,"April 14, 2023",Superior King Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,proximity to the airport,8.0,April 2022,"April 2, 2022",Deluxe King,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,location,8.0,August 2022,"September 25, 2022",Deluxe King,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,everything is good,Good location,8.0,March 2022,"April 21, 2022",Deluxe Two Beds,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,Was quite basic for a 5 star hotel. It did the job tho,Location was super convenient being so close to the airport.,8.0,May 2024,"May 11, 2024",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
"Room nice, food & staff excellent",a little noisy,location to airport,10.0,November 2021,"November 16, 2021",Deluxe Two Beds,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Comfortable and nearby with a great view.,,I loved the proximity to the airport and the comfort afforded.,10.0,December 2023,"December 4, 2023",Superior King Room,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
When you have to stay at the airport due to flightschedule it’s perfect,,Location,10.0,November 2023,"November 25, 2023",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,,Location is great! just a few steps far of Terminal 1,9.0,March 2024,"March 24, 2024",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Good hotel,,Location,8.0,September 2023,"November 7, 2023",Deluxe Queen,2,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,,Location to airport and pick-up and drop-off for ETN bus,9.0,September 2022,"September 30, 2022",Deluxe Two Beds,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
comfortable,,location,8.0,November 2022,"November 26, 2022",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Fair,Is very old,Location,5.0,November 2021,"November 16, 2021",Deluxe Two Beds,1,Group,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Excellent,Anything,"Location, installations, suitability",10.0,June 2023,"June 23, 2023",Superior King Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Pleasant,over priced,location,6.0,November 2021,"November 16, 2021",Deluxe King,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Great for an overnight stay.,It's a bit outdated.,Excellent location.,9.0,September 2023,"September 17, 2023",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,,convenient for layover,9.0,December 2021,"December 25, 2021",Deluxe King,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,,location near airport,9.0,January 2022,"January 18, 2022",Deluxe Two Beds,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Nice location,Very old,Location,7.0,June 2024,"June 22, 2024",Superior Double Room,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Good,,"perfect location, hight price",7.0,February 2022,"April 12, 2022",Deluxe Two Beds,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
"After I missed my flight, this convenient hotel was a godsend.",The price quoted at the hotel reception desk was high; I was able to get a better price by reserving online.,"The location, just over a pedestrian bridge from Terminal 1, was excellent.",8.0,July 2024,"July 17, 2024",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
It was convenient,The hotel should provide more water and if they don’t provide water they shouldn’t sale the water so expensive,Airport location,6.0,May 2022,"May 4, 2022",Deluxe King,2,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Good,people attention,location airport,7.0,February 2022,"March 4, 2022",Deluxe Two Beds,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
I had an aweful stay here this time. The front door was off the hinge and could not be locked from inside (room no 1159),Maintenance of the property has really gone down over the years,Location,1.0,March 2024,"March 17, 2024",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,the carpets need to changed in the halls,location and accessibility from the airport,10.0,April 2022,"May 6, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,"Fantastic location walking distance from airport, good for rest between flying.",8.0,February 2022,"March 3, 2022",Deluxe King,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
hotel staff has an excellent customer service,,the hotel has a great location next to the airport,10.0,February 2022,"February 6, 2022",Deluxe King,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
great location with great airport facilities and convenience,nothing,amazing location for airport .  everything walking distance and east Uber to town on out last day on holiday,10.0,May 2022,"May 9, 2022",Deluxe Two Beds,1,Group,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,,Perfect location,10.0,March 2024,"March 15, 2024",Superior Double Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
My go too hotel for Mex City flights,No complaints on anything at all,Location to Terminal 1-just across over a covered walkway . Good dining and coffee on property. Quiet.,10.0,March 2024,"March 13, 2024",Superior King Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Convenient for late arrival or early departure,Very basic for the price.,"Convenient location for late arrival or early departure, right at the airport.",7.0,February 2022,"February 25, 2022",Deluxe King,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
I will continue to stay at Camino Real for long layovers at the airport.,Looks a little old and needs some remodeling,Location,8.0,February 2022,"February 21, 2022",Deluxe Two Beds,1,Group,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,location,8.0,February 2022,"February 4, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
this is the nicest airport hotel I have ever stayed in. Soundproofing in the rooms was incredible. We could see jets com,,proximity to airport and very soundproof.,9.0,March 2023,"March 9, 2023",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
fair and convenient,it is an old property,location is great for an early flight,7.0,February 2022,"February 18, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Conveniant and comfortable stay,Nothing.,"Convenient, short walk from the terminal and bus terminal.",10.0,May 2022,"May 31, 2022",Deluxe King,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
it was convenient,it’s expensive for what it is,"the location
also that the ETN bus picks up people right out of the terminal",7.0,June 2022,"June 25, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
"Location, good airport hotel",a bit old but it is an airport hotel and is perfectly connected to the airport so for one night or two it’s good.,location,9.0,June 2022,"June 26, 2022",Deluxe King,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
"good location, too pricey for what they offer",too pricey for what they offer,good location,8.0,January 2023,"January 15, 2023",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,,Perfect location!,10.0,March 2024,"March 12, 2024",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,,The hotel is right in front of the airport. Really convenient. They had a clinic for covid testing in the hotel.,10.0,January 2022,"February 4, 2022",Deluxe Two Beds,3,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Convenient but bring your own water,We arrived late at night with no water. We received one small bottle of water each which was not enough. The only water we could buy was from the bar in a glass bottle they were going to charge us $14 American dollars for. A total rip off.,Just a one night stay so it was convenient at the airport,5.0,February 2024,"March 7, 2024",Deluxe Queen,1,Group,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Pleasant,Pillows. Not comfortable at all.,Location. The closest good option to the airport.,6.0,May 2022,"June 8, 2022",Deluxe Two Beds,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
could be worse,"carpet and paint looks really old
and damaged",the location.,6.0,April 2022,"April 28, 2022",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
When you need tomstay near airport of MEX- this is a great option!,Outside was happening kind of street party and hotel itself was bit tired looking…,Good location,8.0,January 2022,"February 7, 2022",Deluxe Queen,1,Group,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Thank God it was just a night,Too expensive,Location,4.0,June 2022,"June 17, 2022",Deluxe Two Beds,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
expensive short stay.,so expensive for a hotel that clearly hasn't gone under any recent remodeling.,it's convenient proximity to the airport.,8.0,February 2022,"February 6, 2022",Deluxe Two Beds,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,Too noisy,Location.,9.0,June 2022,"June 8, 2022",Deluxe King,2,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Pleasant,,Great location and confortable,8.0,May 2022,"May 30, 2022",Deluxe King,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
very practical when you leave early or arrive late from a flight,the check in time was a bit slow,the proximity to the airport,8.0,February 2022,"February 5, 2022",Deluxe Two Beds,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,none,"Excellent location very close to airport .
very going insulation so no noise .",10.0,April 2022,"April 29, 2022",Deluxe King,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Pleasant,Very bad sound proof doors and windows.,Conveniently close to airport: walk from terminal into reception.,6.0,July 2024,"July 17, 2024",Camino Real Club Two Beds - Breakfast Included for Adults Only,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,,"Everything was great, it is comfortable and very convenient, we walked to the airport.",10.0,May 2024,"May 20, 2024",Superior King Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,convenient location to airport,8.0,January 2023,"February 1, 2023",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
very good experience near CDMX airport,nothing,the excellent location of the hotel,9.0,May 2022,"May 9, 2022",Deluxe King,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,,The perfect location that met our needs.,10.0,May 2024,"May 12, 2024",Superior King Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
"Amazing, will definitely return!","I loved everything, I can’t complain.",The location is perfect! I felt comfortable and safe at the end of the night!,10.0,March 2022,"March 7, 2022",Deluxe Two Beds,2,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Poor,"Check in time was more then 1 hour. Super slow check in procesure.
Internet was not working and technical support showed no interest to solve it.",Location,3.0,September 2022,"September 20, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Fair,At least bettet than to sleep in the airport,Perfect location for one night close to the airport,5.0,April 2024,"April 22, 2024",Superior Queen Room,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,nothing,location,9.0,March 2022,"April 15, 2022",Deluxe Two Beds,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Would do again if needed,,Great location if you have to get an early morning flight.,9.0,April 2022,"April 13, 2022",Deluxe King,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Location is the only plus,"Too cold. Heater didn’t function. Regardless of setting, thermostat only blew out cold air",location,6.0,February 2022,"March 1, 2022",Deluxe Two Beds,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Convenient and comfortable,No real dislikes,Very convenient (easy access from/to the airport) and comfortable,8.0,March 2022,"April 10, 2022",Camino Real Club King - Breakfast Included for Adults Only,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Good location need to do more cleaning on the hallways,Hallways were dirty,Location,7.0,April 2022,"April 5, 2022",Deluxe King,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Fair,,Proximity to the Airport,5.0,June 2024,"June 28, 2024",Superior Double Room,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
perfect location for early morning flight. clean but worn.,"Hallways loud, bathtub cracked. Didn’t have a hair dryer; had to go get it then it didn’t work.",Location,7.0,January 2023,"January 26, 2023",Deluxe Queen,1,Group,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,Perfect location if you have a layover in Mexico City. There is a pedestrian bridge linked directly with the airport just beside the shuttle train for transfer from T1 to T2.,8.0,April 2022,"May 25, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,,Location,10.0,June 2024,"August 18, 2024",Superior Double Room,1,Group,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Good price for an excelent location in Mexico city,There was a rare smell in some hotel areas.,location and easy acces to airport.,7.0,March 2022,"April 1, 2022",Deluxe Two Beds,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,Carpets,The location is the best for an early/late flight. Also the pool has a great view of the airplanes.,9.0,March 2022,"March 31, 2022",Deluxe Two Beds,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Exceptional,not applicable. everything was perfect,great hotel and great location,10.0,April 2022,"April 25, 2022",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,,excellente location,9.0,March 2022,"March 22, 2022",Deluxe King,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
I wish we could of stayed a little longer we arrived at 4am and had to leave by 1pm same day due to our flight,nothing,location,10.0,April 2023,"May 18, 2023",Superior Double Room,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Convenient location. Comfortable property,I don't have any negative comments.,Had an unexpected layover. The hotel was convenient and safe.,8.0,March 2022,"March 20, 2022",Deluxe Two Beds,1,Group,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Overall it was good,There is no transportation from hotel to airport terminal 1. We have to drag all 6 baggages by our self,Location was good,7.0,September 2021,"September 6, 2021",Deluxe King,3,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
It’s our go to hotel when we have to go to Mexico City,the bathtub doesn’t hold water for a soak.,it’s airport location,8.0,May 2022,"May 27, 2022",Deluxe King,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Wonderful,,The location. It is connected with the airport by bridge so perfect for sleepovers and early flights.,9.0,December 2021,"January 1, 2022",Deluxe King,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
pleasant,,Great location and very comfortable,9.0,May 2022,"May 30, 2022",Deluxe King,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,Location,8.0,July 2024,"July 8, 2024",Deluxe Queen,1,Solo traveler,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Good,"Very old amenities, it desperately needs a revamp",Location,7.0,August 2022,"August 22, 2022",Deluxe Two Beds,1,Family,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Convenient location,,Location,7.0,December 2021,"January 28, 2022",Camino Real Club King - Breakfast Included for Adults Only,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
Very Good,,I always stay at the hotel. Value for money. Excellent location.,8.0,January 2022,"January 19, 2022",Deluxe Queen,1,Couple,8,0,0,0,0,0,0,0,0,1,0,0.0005569869929074626
