Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Wonderful,It was better if we had a liltte fridge in the room,"Perfect location, nice staff, good food, clean",9.0,July 2024,"July 24, 2024",Standard Double Room with Sofa Bed,4,Family,8,0,0,0,0,1,0,1,0,1,0
As expected,The pluming in the bathroom was not great. The toilet did not fully flush during the entire time I stayed,Good location and value for having the breakfast included,8.0,July 2024,"July 23, 2024",Standard Double Room,3,Group,8,0,1,0,0,0,0,1,0,1,0
Very Good,"The window was frosty
And we couldn’t see the outside and even light from outside was blocked",Location and breakfast,8.0,July 2024,"July 23, 2024",Standard Double Room,3,Couple,8,0,0,0,0,0,0,1,0,1,0
"Good hotel, ideal location, great price.",Was woiken at 5.30 am by some sort of delivery outside but did go back to sleep again. The breakfast was not great. The cold items were fine but the cooked was not great. If you had thrown the sausage it would have knocked someone out.,"The room was clean, the beds comfortable and the air con worked thankfully, plenty of teabags and coffee and you could pick up more if needed. The staff were helpful and the seated area and bar were good. It was literally next door to a weatherspoons which was perfect.",8.0,July 2024,"July 22, 2024",Standard Twin Room,1,Group,8,1,1,0,0,0,0,0,1,0,0
Very Good,/,The staff was nice and helpful. The bed was extra big and cozy.,8.0,July 2024,"July 21, 2024",Standard Double Room,3,Family,8,1,0,0,0,1,0,0,0,0,0
Needed somewhere to stay that was handy to the tube from Heathrow  and that fitted the bill.,There was nothing to dislike,Excellent breakfast.  Good location.  Staff were great. Handy to tube. Suited our needs well for our first night in London,9.0,July 2024,"July 16, 2024",Standard Double Room,1,Couple,8,0,0,0,0,1,0,1,0,1,0
Stay was good and comfortable,The car parking we have to pay for a night 25 pounds.,Every thing was easily accessible including the car parking .,9.0,July 2024,"July 15, 2024",Standard Double Room - Disability Access,1,Couple,8,1,0,1,1,0,0,0,0,0,0
Very Good,"The room is very small.
 The parking is charged for 24h ahead. So if you stay a little longer than 24 hours, you should pay for 2 full days. Also it is quite expensive - 25 pounds per day.","The location of the hotel is very good. the Hammersmith station is 8-10 minutes away, and it is easy and fast to reach anywhere in the center of London.
The breakfast is ok.
The staff is friendly and helpful",8.0,July 2024,"July 14, 2024",Standard Double Room with Sofa Bed,1,Family,8,0,0,0,0,1,0,1,0,1,0
Met all our needs,None,"Room very comfortable, location very good with plenty to do & places to eat locally. Easy tube connection to central London & Wimbledon",8.0,July 2024,"July 14, 2024",Standard Twin Room,2,Group,8,1,0,0,0,0,0,0,0,1,0
A great place to stay in London,The breakfast room was very frenetic with not much space to select food and drink.,"Comfy beds, good sized and quiet rooms, helpful and charming staff.",9.0,July 2024,"July 9, 2024",Standard Twin Room,2,Family,8,1,1,0,0,0,0,0,1,0,0
Overall nice stay with very nice staff,The room was very small and I could here the train passing by,"Location, access to restaurants and the city. Room was cleaned daily!",9.0,July 2024,"July 7, 2024",Standard Double Room with Sofa Bed,4,Family,8,1,0,0,0,0,0,1,0,1,0
"Comfy, great location, good value for money",The air con wasn't very efficient so it was quite hot,"Location great, breakfast a nice surprise as the range was fab. Friendly staff, clean room, comfy beds.",9.0,June 2024,"July 1, 2024",Standard Twin Room,1,Group,8,1,0,0,0,0,0,1,0,1,0
"Comfortable stay, great location","Some staff were friendly but others not so much, could have been friendlier customer service. We also felt like there could have been some more options for breakfast, specifically some veg and/or  veggie friendly options","We found the room and bed really comfortable, location was great with lots of nice restaurants and shopping nearby, also short walk to the underground station",8.0,May 2024,"June 30, 2024",Standard Double Room,4,Couple,8,1,0,0,0,0,1,1,1,1,0
As good as it could have been.,,Friendly staff. Good breakfast. Good location (we were going to Riverside Studios).,8.0,June 2024,"June 29, 2024",Standard Twin Room,1,Couple,8,0,0,0,0,1,0,1,0,1,0
Expensive but suited our needs,"General decorating on bedroom, bathroom and in hotel corridors etc is worn, stained and in need of refreshing. Carpets especially. For price paid it was noticeable and expected better of this chain.","Location is excellent, with shops, restaurants and tube station all within easy walks. Parking was easy at hotel although expensive (and you pay each time you leave the car park so at £25 a time it could add up). Breakfast was busy, basic and free!",8.0,June 2024,"June 29, 2024",Standard Twin Room,1,Family,8,0,0,1,0,0,0,1,0,1,0
"Perfect location, comfortable room and exceptionally friendly and helpful staff","Considerate guests! Some of the other guests near our room came back late, were extremely noisy - talking loudly and slamming doors. Really inconsiderate.",The room was lovely and clean and comfortable. However there is a trainline running adjacent to the room so there was some noise from the trains but apart from that it was fine,8.0,June 2024,"June 29, 2024",Standard Twin Room,1,Family,8,1,1,0,0,0,0,0,0,0,1
"Great location, helpful staff and good facilities overall.","The room was tired in places, particularly in the bathroom. Grouting in floor tiles had failed, with some loose grout still on the floor which was uncomfortable to stand on and unhygienic. The toilet roll holder was broken and the overall cleanliness was not great.","Location is excellent. Staff are incredibly welcoming, helpful and friendly. The room was quite quiet and generally well-resourced. Breakfast options were very good. I was able to check in early and leave my bag safely with the concierge after check out.",8.0,June 2024,"June 25, 2024",Standard Double Room,1,Solo traveler,8,0,1,0,0,0,0,1,0,1,0
Stay at the Hammersmith,"The air conditioning seemed to be working but actually it didn't t cool the room at all. At the night time it was difficult to sleep because the room was so hot. Also the noise of the train railway was quite loud, but we got used to it. We had one king side bed and a sofa,  which was transformed as a bed for two people and that was very unconfortable and tiny for sleeping.","The location was perfect and Hammersmith is a great place to stay for a family trip. The prices of food and drinks at the Hammersmith restaurants are affordable compared to prices at the London city centre and it is easy to take the tube to all the main attractions. The hotel location was peaceful and the staff nice and helpful. Breakfast was ok with some hot options (sausages, scrambled eggs, bacon,  beans, etc.)",8.0,June 2024,"June 25, 2024",Standard Double Room with Sofa Bed,6,Family,8,0,1,0,0,1,0,1,0,1,0
Wonderful,All good.,"Handy for Queens Club and close to underground and various restaurants.
Excellent cooked breakfast.",9.0,June 2024,"June 20, 2024",Standard Twin Room,3,Couple,8,0,0,0,0,0,0,1,0,0,0
"Great place to stay, comfortable and good value for your money","Breakfast could be better, particularly coffee and orange juice","Well located, clean, good value",9.0,June 2024,"June 20, 2024",Standard Double Room,5,Couple,8,0,0,0,0,0,0,0,1,0,0
Mr Moore,I didn't like that they had no hot food for the afternoon / Evening this a factor that holiday inn could benefit and look into,I like the location the hotel is central to many shops iwhitn walking distance so was very good also I like your breakfast range and beverages thank you holiday inn team,8.0,June 2024,"June 18, 2024",Standard Twin Room,2,Family,8,0,1,0,0,0,0,1,1,1,0
Great hotel for the price,At moment can't think of anything we didn't like,"Good size room, breakfast was very good, the price paid was very good for the money, we have already booked the hotel for our next two stays in london and cancelled the other hotels.",9.0,June 2024,"June 17, 2024",Standard Double Room,2,Couple,8,0,0,0,0,0,0,1,0,0,0
Loved it,,The staff were all helpful and friendly. Great service. Loved the breakfast and fantastic location. I would stay here again.,8.0,May 2024,"June 15, 2024",Standard Double Room with Sofa Bed,2,Family,8,0,0,0,0,1,0,1,0,1,0
Very Good,,"Great location. 
Great breakfast although not quite hot enough. 
Nice room",8.0,June 2024,"June 15, 2024",Standard Double Room,3,Couple,8,0,0,0,0,0,0,1,0,1,0
Good location to Appolo.Good breakfast,"Very noisy,we overlooked the courtyard and always a lot of noise",Good location to concert venue,7.0,June 2024,"June 14, 2024",Standard Double Room,2,Couple,8,0,0,0,0,0,0,0,0,1,0
