Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Nice location but not clean showers,"Hygiene. Bed curtains had lipstick marks, bed wall brown marks… the showers had parts that were never cleaned. There’s the same chewing gum in the shower for all 4 days I stayed there. 

the height of the bed is very short, even as I short person I kept hitting my head. Room was very hot, other people complained about it. An engineer came but it continued the same.",Staff were really friendly and hostel has a big common area.,7.0,July 2024,"July 30, 2024",Bed in 8-Bed Mixed Dormitory Room,4,Solo traveler,8.5
Nice hostel in central Madrid,Some of the showers in one of the women’s bathrooms weren’t working. 3 over 5 showers were left unused. I hope they are going to fix the issue soon as that created a bit of queue in the bathroom,"Central location, comfortable beds, aircon in the bedrooms, generally quiet, friendly staff.",7.0,July 2024,"July 29, 2024",Single Bed in 8-Bed Female Dormitory Room,2,Solo traveler,8.5
Exceptional,,"Perfect location, great and kind stuff. Very clean and comfortable big rooms  😊",10,July 2024,"July 29, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.5
"Very friendly staff, nice rooms nice bathrooms",Sharing room,Rooms,10,July 2024,"July 28, 2024",Single Bed in Female Dormitory Room,3,Solo traveler,8.5
"Great staff and affordable, centrally located hostel",nothing I can think of.,"The hostel is perfectly central and the staff was very welcoming and warm, the lady who takes care of the breakfast was wonderful to me, I very much appreciated the option to have a real breakfast (for 6 euros), for an overall super honest price.",9.0,July 2024,"July 28, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.5
Exceptional,,Acol,10,July 2024,"July 27, 2024",Single Bed in 8-Bed Female Dormitory Room,1,Solo traveler,8.5
Chilled in Hottest Hostal,,Excellent location with great vibe.,9.0,July 2024,"July 26, 2024",Bed in 10-Bed Mixed Dormitory Room,1,Solo traveler,8.5
Hottest Hostal in Town,"Bathrooms/showers seemed inadequate given the number of guests staying, although I was never inconvenienced for long.","Great location on Gran Via with all the facilities you'd need on the doorstep.  Staff highly efficient but not obtrusive.  Loved the big common/breakfast room - great opportunity to meet fellow travellers, catch some TV or just hang out.  Stayed two times in a week (4 nights in all) - once in 6 bed room and then in 4 bed room.  Plenty of privacy.  Would definitely make this my first option in Madrid for the future.",9.0,July 2024,"July 26, 2024",Bed in 10-Bed Mixed Dormitory Room,3,Solo traveler,8.5
Very Good,Has no kitchen facilities. Not even a water fountain,Good location. The air conditioner.,8.0,July 2024,"July 26, 2024",Bed in 8-Bed Mixed Dormitory Room,7,Solo traveler,8.5
Very Good,"The toilet wasn't very clean, some soap bottles were empty",Staff were very helpful - The room was clean,8.0,July 2024,"July 26, 2024",Bed in 10-Bed Mixed Dormitory Room,1,Solo traveler,8.5
Amazing except for the kids,"Kids! 

I know this is not really within their control and well, “business is business” (guests are guests). However, 
I’m a 30 year old female solo traveller and to my absolute surprise, about 70x 8-10 year old kids showed up/ checked into the hostel. They practically took over the place, Screeming and running around etc. 

On one of the nights, I was in the shower trying to juggle the shower turning off (3 second timer) whilst washing my hair. 2 minutes in, 15 screaming girls come into the bathroom for showers and start kicking the door and yelling at me. It got so intense, I gave up and got dressed with conditioner still in my hair to let them have at it..

Again, not the hostels fault but I guess I’d kinda like a heads up if I’m going to be attending a school trip..","In short, I Loved pretty much everything! 
The room, bed and hostel in general was lovely, modern and clean. The lobby was fancier and cooler than I had expected and the reception staff we so nice and welcoming! 

Loved!",9.0,June 2024,"July 26, 2024",Single Bed in Female Dormitory Room,4,Solo traveler,8.5
Kudos to the receptionist,Location and receptionist,Same towel for 2 days,7.0,July 2024,"July 25, 2024",Bed in 10-Bed Mixed Dormitory Room,3,Solo traveler,8.5
Exceptional,"Nothing, everything is very nice👍",Everything is Excellent,10,July 2024,"July 24, 2024",Bed in 10-Bed Mixed Dormitory Room,2,Solo traveler,8.5
In the very heart of madrid. A huge private room,"Water-saving tap in the wash-stand is a mess 
Smelly bathroom ( sewer)
Very few toiletries","Good location big room and  loft-like style 
Breakfast is fine both price and food choice wise",8.0,July 2024,"July 23, 2024",Superior Double or Twin Room,1,Couple,8.5
"Great location, independent space, good breakfast and friendly staff",No guidance on day trips or any tours by hostels. The room was changed twice during my 10 night stat which was annoying but I understand it was due to whole room rented to single large party.,"Location was great, staff was helpful",7.0,July 2024,"July 23, 2024",Bed in 6-Bed Mixed Dormitory Room,8,Solo traveler,8.5
Very Good,The showers were not as clean,"Location, bed and space to keep things",8.0,July 2024,"July 19, 2024",Single Bed in 8-Bed Female Dormitory Room,1,Solo traveler,8.5
Exceptional,,"Amazing place, the employees are very polite!",10,July 2024,"July 19, 2024",Bed in 10-Bed Mixed Dormitory Room,2,Solo traveler,8.5
Good value for your madrid stay,Nothing.,"Clean, and the stuff was very nice",8.0,July 2024,"July 19, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.5
One of the best hostels in Madrid,Nothing.,"That was the second time I stayed at Room007 Gran Via. That's an excellent hostel, great location, comfort, cleanliness.",9.0,July 2024,"July 19, 2024",Single Bed in Female Dormitory Room,6,Solo traveler,8.5
Always the best place to be!!,,"All good, AC working. All good",10,July 2024,"July 18, 2024",Bed in 8-Bed Mixed Dormitory Room,2,Solo traveler,8.5
Exceptional,N/A,100 points for this one. Any type of stores and restaurants around the corner. Close to the bus and t2hlle metro station.. totally recommend it tollll,10,July 2024,"July 17, 2024",Bed in 8-Bed Mixed Dormitory Room,4,Solo traveler,8.5
Great location. Good value for the money.,Bathroom and toilet facilities could be upgraded and more clean.,Rooms very cosy and clean. Staff helpful and friendly.,7.0,July 2024,"July 16, 2024",Single Bed in 8-Bed Female Dormitory Room,3,Solo traveler,8.5
Good,It would be nice for the top bunk beds to have a top as using the bed light therefore lights the whole room / when the main light is on it is very difficult to sleep,Comfortable beds and great location,7.0,July 2024,"July 16, 2024",Bed in 10-Bed Mixed Dormitory Room,2,Solo traveler,8.5
Very Good,,The location,8.0,July 2024,"July 16, 2024",Single Bed in 8-Bed Female Dormitory Room,2,Solo traveler,8.5
Wonderful,The toilets were not clean and every time they try to clean them was not enough also they do the cleaning at same time blocking them all which does not make sense.,Location is amazing fine for what I needed,9.0,July 2024,"July 15, 2024",Bed in 8-Bed Mixed Dormitory Room,7,Solo traveler,8.5
A great and comfortable hotel right in the vicinity of the good things of Madrid.,"Just remember to have some 5-euro cash on you for the key deposit. Also the bathroom uses this annoying press tap that turns off periodically, but that's not a major issue. Not much to dislike here!","I stayed here previously (under a different brand name) but was still very satisfied with the service and the facilities! The location is very central and fantastic, beds were comfy and with good privacy, and even towels were provided (which was amazing for a hostel), the staffs were friendly and helpful. You don't even need to bring your own lock for the locker, since there's already a key for it. Can't recommend enough.",10,June 2024,"July 15, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.5
You get what you pay for,"It's a massive place so it's not really the kind of hostel where it is easy to meet new people. There are similarly not many places for you to sit to socialise with other people. As it is such a big place and there are so many people staying there at once, they don't seem to be able to check who is coming in and out. As a result, there was an issue in my room as the guy staying in the bed above me brought 2 girls back to the room at night. A member of staff only came up to deal with this incident after another girl in the room complained the following morning. Luckily, nothing happened but it does bring up questions about safety.",Great location as it is on Gran via and is close to loads of nice food places. There is a curtain on the bed which adds a bit more privacy. The room and communal bathrooms were very clean. The bed was pretty comfortable and overall it was good value for money.,7.0,May 2024,"July 14, 2024",Single Bed in 8-Bed Female Dormitory Room,1,Solo traveler,8.5
Would stay again,"Whilst they tried to keep on top of the cleaning some people managed to make it look like a tornado had run through the toilets and showers in no time, so could do with some checkups during the day but see why that would be hard to keep on top of. Might have been because there was a festival on when I was there so big festival crowd. Also some things were run down and needed fixing, nothing big more like a lose sink knob, bed curtain rail falling down, that type of thing. The showers were probably the worst thing, they were hard to get to a consistent heat and the pressure depended on each shower, but otherwise all good, and that were just minor annoyances.","The location was great. Near a bus to the airport, near the metro, almost in the middle of the centre, plenty of food places and shops etc. The staff were friendly and helpful. The breakfast was on for a good period (so great if you are an early or late riser), very basic but nice and easy for the price. Also had great breakfast cafes just around the corner. Rooms had Aircon which was great because there was a heatwave. All in all I liked it there and would stay again.",8.0,July 2024,"July 14, 2024",Single Bed in 8-Bed Female Dormitory Room,4,Solo traveler,8.5
Cool. Comfy. Great staff.,Maybe for the breakfast it can be more options. But it’s ok.,"I really enjoyed to stay in this hostel. Very friendly staff, super kind. Rooms are very comfortable and have air conditioning. Lovely place in the city centre of Madrid. Very recommend.",10,July 2024,"July 13, 2024",Bed in 4-Bed Female Dormitory Room,1,Solo traveler,8.5
Very Good,,It’s a good option for someone with a tight budget.,8.0,May 2024,"July 13, 2024",Bed in 8-Bed Mixed Dormitory Room,3,Solo traveler,8.5
Super good!,"Noise in the room from another guest, but it’s okay if you stay in a hostel 😄","The hostel is really great! Especially the staff, everyone was sooo nice! Pretty good rooms and beds. Totally recommend",9.0,July 2024,"July 13, 2024",Bed in 10-Bed Mixed Dormitory Room,1,Solo traveler,8.5
Very Good,,Perfect location and good value for money.,8.0,June 2024,"July 12, 2024",Bed in 10-Bed Mixed Dormitory Room,2,Solo traveler,8.5
Wonderful,,They were very friendly and the luggage room was very secure,9.0,July 2024,"July 12, 2024",Bed in 10-Bed Mixed Dormitory Room,3,Solo traveler,8.5
I really enjoy the experience at this hostel and for sure I’ll come back. Thanks again,The room where I stayed was very hot  because some of the roommates left the window open .,The location is perfect very well located and all staff very helpful and friendly.,10,July 2024,"July 11, 2024",Bed in 4-Bed Mixed Dormitory Room,5,Solo traveler,8.5
Exceptional,,"Central position and friendly staff, excellent breakfast.",10,June 2024,"July 11, 2024",Single Bed in 8-Bed Female Dormitory Room,1,Family,8.5
Very Good,"There's little that I didn't like honestly. Maybe the presence of some chairs in the rooms would've been better, or a table, as well as additional cleanliness in the bathrooms. But overall I have little to complain about: truly a good and cheap hostel to go to. Lots of friends to make too!","I particularly like the room's cleanliness - they were cleaned every single day by the personnel. The corridors too, and bathrooms too -- though some of them were constantly used by the guests, so they weren't the cleanest. Honestly, one of the best hostels I've ever been to and would definitely consider going to again next time I'm going to Madrid.",8.0,July 2024,"July 11, 2024",Bed in 8-Bed Mixed Dormitory Room,4,Group,8.5
Exceptional,"One minus - the showers, you have to switch on the water once in like 10 seconds",Cute staff! Two power plugs inside a cabin bed. Included breakfast for free because of minor inconvenience my friend encountered. Clean towels and warm cover. Comfortable temperature in the rooms. Great location,10,July 2024,"July 10, 2024",Single Bed in 8-Bed Female Dormitory Room,2,Solo traveler,8.5
Comfortable,It was too cold in the building,It’s was really nice,10,July 2024,"July 10, 2024",Bed in 4-Bed Female Dormitory Room,2,Couple,8.5
Exceptional,You can’t really cook something in the kitchen just for heating and coffee,"Fantastic hostel for short stays, everything is clean the staff is friendly, perfect air conditioning, 24h check-in, i like it",10,July 2024,"July 10, 2024",Bed in 8-Bed Mixed Dormitory Room,3,Solo traveler,8.5
Exceptional,"The sinks in the bathroom were not always cleaned, however everything else was perfect.","Nice place, rooms, elevator and friendly staff",10,July 2024,"July 9, 2024",Single Bed in Female Dormitory Room,3,Solo traveler,8.5
Wonderful,The bathroom closer to my room had only two showers - one of which has been broken since my last visit (over six months ago). It's a shame they don't seem willing to fix it.,"I always choose this hostel when I travel to Madrid. The staff is really kind and willing to help, the rooms are very clean and comfortable, with curtains for privacy.",9.0,July 2024,"July 9, 2024",Bed in 8-Bed Mixed Dormitory Room,4,Group,8.5
Exceptional,Everything was great,"Personel is absolutely fantastic, always with smile and ready to help. Nice rooms, cousy lounge, great breakfst. Place to come again on the next occasion...",10,July 2024,"July 9, 2024",Bed in 10-Bed Mixed Dormitory Room,1,Group,8.5
Great choice to stay in Madrif,It could be great to have a hook in the room to hang something temporarily. But it's a small detail.,"The hostel is well located (Gran Via). I feel very safe in the neighborhood. 
Nice staff, the lock is provided.
The bed is confortable and the curtain provided the privacy.
The common bathroom is clean and it has enough places. 
I strongly recommended this place.",10,July 2024,"July 9, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.5
Exceptional,,Location it’s perfect,10,July 2024,"July 8, 2024",Single Bed in 8-Bed Female Dormitory Room,3,Solo traveler,8.5
The best choice in Madrid,Nothing to complain,"The location is perfect, in the heart of Madrid, a few steps of Metro Gran Via. The staff is very kind and helpful. The breakfast is delicious and very complete, for only 6 euros. The hostel is very clean and organized.",10,July 2024,"July 7, 2024",Bed in 8-Bed Mixed Dormitory Room,2,Solo traveler,8.5
Wonderful,,"The best location .  Value for money.
Female dorms . Helpful  staff. A close walk to the airport bus stop. Buffet breakfast is plentiful. I've come before and I will come again.",9.0,July 2024,"July 6, 2024",Single Bed in 8-Bed Female Dormitory Room,2,Solo traveler,8.5
Great Stay in Madrid,All OK.,All Ok.,10,July 2024,"July 5, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.5
Was good,"Organized , well maintained, excellent staff and availability of hours receiving the client , 24 hours front desk availability..!!","Close to bus station and metro , everything that you need is in walking distance as far as verity of food and shopping",8.0,July 2024,"July 5, 2024",Bed in 8-Bed Mixed Dormitory Room,4,Solo traveler,8.5
Beautiful and well kept hostel,,I think the whole concept of this hostel is very enjoyable - just suits the place and serves all basic needs! Very nice and even quiet within the city center. Also the staff is remarkably friendly as professional!,10,July 2024,"July 5, 2024",Bed in 8-Bed Mixed Dormitory Room,2,Group,8.5
Wonderful,nothing bad,Great location! The staffs were so kind and helpful. The room and the shared bathroom were quite clean and comfortable to use.,9.0,June 2024,"July 5, 2024",Single Bed in Female Dormitory Room,6,Solo traveler,8.5
nice hostel in centre,"the only thing that bothered me were the showers. For this price and how they have done the rest of the hostel nicely, I was surprised to find the showers had time-out buttons, like a beach shower or campsite. So I had to keep pressing the button to keep water flowing as each press only lasted about 12 seconds. Quite annoying not being able to take an uninterrupted shower. Plus if you left it off for too long, the water went back to being cold and it had to warm up again on next press.","clean, nice rooms with privacy beds, elevator, air conditioning",9.0,July 2024,"July 5, 2024",Single Bed in 8-Bed Female Dormitory Room,2,Solo traveler,8.5
Good,"Noisy rooms (because of roommates)
Bathrooms not well cleaned 
Not kitchen available 
Price to high",Location,7.0,June 2024,"July 4, 2024",Bed in 8-Bed Mixed Dormitory Room,4,Solo traveler,8.5
Wonderful,,Very nice location nice stuff,9.0,July 2024,"July 3, 2024",Bed in 8-Bed Mixed Dormitory Room,2,Group,8.5
Nice affordable shared accommodation in the middle of the city,Nothing,Great location in the middle of everything,9.0,July 2024,"July 3, 2024",Bed in 8-Bed Mixed Dormitory Room,2,Solo traveler,8.5
affordable spot in central Madrid,"key deposit 5€, weak AC in the room with no controls), showers could be a little cleaner","Dirt cheap, central location. got upgraded to a 6 bunk room, very spacious. nice extra large towels, nice beds",8.0,July 2024,"July 3, 2024",Bed in 10-Bed Mixed Dormitory Room,2,Group,8.5
