Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
A pleasant visit and stay at this lovely hotel,"For some reason, they serve warm water at breakfast, a bit odd I must say. no Ice available.","Staff willingness to help, the location of the hotel is really good with all possible public transport methods right outside the entrance, general atmosphere around the hotel.",9.0,July 2024,"July 12, 2024",Family Room (1 Adult + 2 Children),5,Family,9.2
Perfect location.,Very low pressure of water from the shower and the breakfast was not very good.,The fact that the location was fantastic and perfect for us.,8.0,July 2024,"July 9, 2024",Standard Twin Room,1,Couple,9.2
Exceptional,,Perfect place to stay in Warshaw!,10,May 2024,"July 9, 2024",Deluxe Double Room,2,Couple,9.2
"Great location, great value",Nothing really,The room was very big and very confortable. The staff was friendly. Great location.,9.0,July 2024,"July 8, 2024",Superior Twin Room,2,Family,9.2
"Great location, but overpriced.","Bar closed too early and quite poor value for money given the amount it costs.  No particular frills, something you would expect for the price I paid.",Great location and a quiet room.,8.0,July 2024,"July 8, 2024",Superior Double,4,Solo traveler,9.2
"I love this hotel and will return back, Especially the night Manager/Receptionist was so friendly.",Nothing significant,Overall all hotel facilities were excellent and exceeded my expectation. Would be there once again for sure. I love to stay in this hotel as it was also very convenient to location which we needed to travel during our business trip.,10,July 2024,"July 8, 2024",Superior Double,3,Group,9.2
Wonderful hotel in central Warsaw,,perfect location in the center of Warsaw. Staff was gracious and professional.,9.0,July 2024,"July 7, 2024",Standard Twin Room,2,Solo traveler,9.2
Great hotel in central location,Nothing,"Great central location, near to main train station. Hotel very clean and lovely architecture. Rooms great size and very confy. The food in the restaurant was tasty, staff very friendly and helpful.",10,June 2024,"July 3, 2024",Standard Double,2,Family,9.2
Excellent hotel in a very convenient location. We especially enjoyed the breakfast.,,Excellent hotel in a very convenient location. We especially enjoyed the breakfast. This was our second stay in Polonia and we enjoyed it every time.,10,July 2024,"July 2, 2024",Standard Twin Room,1,Couple,9.2
We always want to come back,"The absence of a proper restaurant
No parking space for hotel guests. Pure luck helped us.","Location, ambience, staff, old days charm, breakfast, lobby",8.0,June 2024,"July 1, 2024",Deluxe Double Room,2,Couple,9.2
Beautiful hotel in the heart of Warsaw.,Honestly cannot think of anything to say here - everything was great.,Great location within walking distance to the historic center.  The property is beautiful and the staff friendly and professional. Our room was spacious and very quiet at night.  We did not opt for the breakfast so cannot comment in that area.  In all - a very comfortable stay; we will stay here again on future visits to Warsaw.,10,June 2024,"July 1, 2024",Standard Double,2,Group,9.2
Wonderful hotel,The windows of my bedroom was a bit smaller.,"We could check in early when I arrived at Warsaw in the morning. So it was very helpful. 
There were clean bathroom and bedroom. 
We could use the bathrobes as well as roomshoes. We felt comfortable in a hotelstay. 
And then There is convenient for going to anywhere.
The last  When I could look this hotel from outside, It made me happy each time because  this hotel is great historical building. Thanks.",10,June 2024,"June 28, 2024",Superior Double,1,Family,9.2
Wonderful,,"The place is fantastic. The room was excellent.  The staff is friendly and helpful. 
The breakfast is fabulous. 
The only remark was about the lunch menu,  not very tasty.",9.0,June 2024,"June 26, 2024",Superior Double,3,Couple,9.2
Exceptional,,"We love this hotel, it is our go to place in Warsaw. The location is excellent, staff is super friendly and helpful, the downstairs bar has nice food and drinks.",10,June 2024,"June 25, 2024",Standard Double,3,Couple,9.2
Excellent stay,Lack of information and guidance about the sauna section.,"Excellent location and nice clean room with a very comfortable bed and a great view towards the Palace of culture. The breakfast had a great variety including sparkling wine. The building is beautiful with old charm. Polite staff. 

We appreciated the system in which you were able to receive a voucher for the lobby bar if you didn't need cleaning for a day during your stay. Save a planet and get a free drink. :) Would stay again!",10,June 2024,"June 24, 2024",Superior Double,2,Couple,9.2
Slightly disappointed.,I was disappointed in the attitude of the male receptionist at check-in. He didn't show any hospitality or even a smile at all.,,8.0,June 2024,"June 23, 2024",Standard Single Room,2,Solo traveler,9.2
Pleasant stay in a nice central Hotel,everything was good,"I had a nice quiet room looking over the Courtyard. very good air conditioning with a  light and bright room . I had to leave early to get taxi to Modelin Airport ( only £26 special through Booking) so I was first in breakfast at 6.30 Am . Taxi  was waiting fir me at 7am and took only 40 minutes to the Airport . I decided on taxi as i could not be bothered to lug my bags up and down stairs at the Modelin station. 
Very pleasant and comfortable stay . I used room service for my dinner ( for the first time ever )so as to watch the Euro football. You can get the Bar meals  menu in your room ! Highly commend this Hotel",9.0,June 2024,"June 23, 2024",Standard Double,1,Solo traveler,9.2
"Come if you love walking in and around the city center for hours, and want a nice hotel to relax...","When I checked-in, and entered my room, there was a lipstick stain on one of the mugs for coffee. I let them know and they apologized and brought a new mug. So, they were gentle and professional about it.","Breakfast was really good. The beds were comfortable. The staff was friendly. Above all, the location was perfect.",9.0,June 2024,"June 23, 2024",Superior Single Room,4,Solo traveler,9.2
A solid gem indeed.,nothing to add,"Spring 2024:
So many have reviewed the expected features so I'll mention something else.
The sauna is not as Finnish as I would like but very enjoyable nevertheless.
You have ""sunbeds"" in the relax room which is rather nice. Bottles of water is provided for as there is a gym next door.

The hotel IS in the middle of town, easy access to whatever really. The Bar has a pretty nice setting.

This is my 5th stay and counting. A solid gem.",9.0,April 2024,"June 23, 2024",Standard Single Room,5,Group,9.2
Wonderful,Shower in bath not good for people either limited mobility. Aircon blows onto the bed,"Well positioned, comfortable room, great breakfast",9.0,June 2024,"June 22, 2024",Standard Double,2,Couple,9.2
Exceptional,Nothing,Everything,10,May 2024,"June 21, 2024",Standard Double,1,Family,9.2
Excellent hotel.,Nothing everything was lovely.,"This is quite simply a great hotel very near Warsaw Train station and also near a tram stop for journeys to the Old Town.  The room was cool, quiet with very comfortable and generously sized beds.  The breakfast is excellent with lots of choice and even sparkling wine if you can manage it.  
It’s not a cheap hotel but we thought it was well worth the money for the last two nights of our trip. 
If you want a quiet night’s sleep ask for a room without a view. (The hotel is on a very busy road but we slept very well)",10,June 2024,"June 20, 2024",Superior Twin Room,2,Group,9.2
A proper grand palace hotel.,"Nothing important. Just a contrast after staying in many smaller towns and hotels with relaxed vibes, the staff here were old school officious. respectful and very serious.",Very nice grand hotel,8.0,June 2024,"June 19, 2024",Standard Single Room,1,Solo traveler,9.2
Good place to stay,The breakfast is good but not perfect as the staff working to the hotel.,Cleaness and staff,10,June 2024,"June 19, 2024",Superior Single Room,2,Solo traveler,9.2
Exceptional,,Location was excellent and a beautiful hotel. Breakfast choice was superb.,10,June 2024,"June 18, 2024",Standard Double,2,Solo traveler,9.2
Exceptional,Nothing,"Location, Breakfast was super, central location, friendly stuff, comfortable, modern  and clean room.",10,June 2024,"June 17, 2024",Standard Single Room,2,Group,9.2
Great hotel,Nothing,Beautiful hotel with excellent facilities. Great location and very helpful staff,10,June 2024,"June 17, 2024",Standard Double,2,Group,9.2
Good location good service,The bed is really hard,"Location, service",9.0,May 2024,"June 16, 2024",Standard Double,4,Couple,9.2
Exceptional,,"I was here for the Ironman. My room was very large, ideal for my preparation. The staff were discrete and always helpful. The food was varied and of generous portions.",10,June 2024,"June 15, 2024",Standard Double,4,Solo traveler,9.2
"This now slightly run down post Soviet era, former 19th Century grand central, is perfectly situated",loked everything,secod or third time I have stayed there.  Amosphere.  Location.  Historical  importance - Bombed in wwII but restored and used by westernallies as first HGs,9.0,June 2024,"June 15, 2024",Superior Twin Room,3,Solo traveler,9.2
Great time relaxing,Location,Good location v nice hotel,10,April 2024,"June 14, 2024",Standard Double,1,Solo traveler,9.2
Almost perfect,"Just two minor things:
1) in the bathroom I would prefere a shower rather than a bath tub. It can be dangerous in case of sliding.
2) the gym could be improved and all the equipment should be kept in working conditions","It was my second stay in this hotel. Everything was very good, the staff is very kind, room is clean and the offer for meals and breakfast is ok.",9.0,June 2024,"June 14, 2024",Deluxe Single Room,2,Solo traveler,9.2
I will return.,Nothing.,"Beautiful facility, central location, extraordinary breakfast, very helpful gentlemen Kacper and Fabian at the front desk.",10,April 2024,"June 12, 2024",Standard Single Room,4,Solo traveler,9.2
I'll be staying here again.,The wash cloths were not replaced and the coffee was not labeled as caffeine or decaffeined.,"Located in the heart of Warsaw, a short walk from the train station and museums.  At the center of local transportation.
The breakfast was superior and the wait staff was prompt and courteous.   There was a #175 bus to the airport that stops every 20 minutes, across the street.",10,June 2024,"June 11, 2024",Deluxe Single Room,3,Solo traveler,9.2
"simply: excellent. if you publish my feedback, please do it without mentioning my name, please","i would prefer courtains on the windows that make more darkness by night, maybe a little more bigger courtains",very correct service by staff,10,June 2024,"June 11, 2024",Deluxe Double Room,5,Couple,9.2
Exceptional,,"Great, as usual. Very good breakfast, friendly staff.",10,May 2024,"June 7, 2024",Deluxe Single Room,6,Solo traveler,9.2
Beautiful place with a couple of missing details,"Bed wasn’t that comfortable for me, but that’s subjective.
Drink voucher is a joke, choice is minimal and it just serves to lure you into the bar to consume. If you dislike soccer, the bar isn’t for you anyway.","Historic place, very nice interior, excellent breakfast buffet.",8.0,June 2024,"June 6, 2024",Superior Double,2,Couple,9.2
Perfect Place to Stay!,There was nothing not to like.,The hotel has a quiet sophistication which I find relaxing.  The staff was extremely courteous and we loved our lodging.  Our suite was tastefully furnished and had everything a person could want including a tremendous amount of storage which would work well for one on a lengthy visit.,10,June 2024,"June 6, 2024",Deluxe Double Room,1,Couple,9.2
Wonderful,"I was surprised that there was no proper shampoo and conditioner - what they provide is no good for hair. There were no facecloths. 
I would not recommend the courtyard view - it makes the room gloomy.","Location is excellent, right in the centre of everything and close to tourist locations, the metro, tram lines, and the mall. 
The breakfast was excellent, with lots of choice. The room was a good size and the bed was comfortable.",9.0,June 2024,"June 6, 2024",Standard Double,3,Solo traveler,9.2
Very Good,Nothing,Location,8.0,June 2024,"June 2, 2024",Standard Double,3,Family,9.2
Exceptional,N/A,"Beautiful Hotel located in a city center! Staff very professional and friendly! Definitely A+ experience! 
Recommend and will be back! :)",10,May 2024,"May 31, 2024",Standard Double,2,Solo traveler,9.2
Great hotel,N/a,"The hotel is amazing , rooms are large and very clean , and the breakfast selection is huge and varied",10,May 2024,"May 29, 2024",Standard Double,4,Couple,9.2
Very Good,sauna closed in the mronings.,excellent breakfast,8.0,May 2024,"May 28, 2024",Standard Double,1,Solo traveler,9.2
"Great location, lovely hotel, great staff, excellent stay, nothing more to be said!",Nothing.,Everything was good.,10,May 2024,"May 28, 2024",Superior Twin Room,3,Family,9.2
Well positioned for visiting Warsaw and a very comfortable stay!,,"The room was very comfortable, adequately sized and very quiet. The reception staff were very welcoming and helpful. The hotel had a good ambience and seemed well maintained. Excellent position for easy access from the airport and for exploring Warsaw in general.",9.0,May 2024,"May 27, 2024",Superior Double,3,Couple,9.2
Beautiful place in the centre of Warsaw,"The only thing I can think of is a little bit poor breakfast. however, it is just my personal view and other travellers may easily find it enough","Great hotel in the trap part of Warsaw. Clean, comfortable, beautiful atrium. The staff is well trained and polite.",8.0,May 2024,"May 27, 2024",Deluxe Double Room,2,Couple,9.2
Satisfied,,Had to leave before breakfast started. Spent some hours enjoying Warsaw and went to bed.,10,May 2024,"May 27, 2024",Superior Single Room,1,Solo traveler,9.2
A Great Place to Stay in the Centre of Warsaw,A card was needed to gain access to the room and also for electricity to be connected within the room. Some guests struggled in the lift to get their cards out on time before it reached their floor.,"The hotel is very centrally located right on the square when the Palace of Culture is located. I had a great view from my room. There were many restaurants and shops within walking distance. Although my room overlooked the main street, it was quiet and I was able to sleep well. Breakfast had a great selection and it was served in a very pleasant dining area on the ground floor.",10,May 2024,"May 25, 2024",Deluxe Double Room,3,Couple,9.2
Lovely hotel in lively district,,"Lovely big room with street view, very quiet corridor and good air con. Comfortable bed and overall really pleasant stay.",10,May 2024,"May 21, 2024",Superior Double,3,Couple,9.2
