Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,,"Great location, very very clean, bed really comfortable",10,May 2024,"May 16, 2024",King Room,1,Group,8.9
Wonderful,,"Very central location, very clean and useful rooms.",9.0,May 2024,"May 15, 2024",King Room,3,Family,8.9
Exceptional,Nothing,Everything,10,May 2024,"May 15, 2024",Queen Room,2,Family,8.9
Perfect stay!,I wish we had at least one small window that we could open inside the room for some fresh air.,The room was very spacious and comfortable. Everything was clean and the staff was extremely friendly and helpful. Always my first choice in Bucharest!,9.0,May 2024,"May 12, 2024",Twin Room,2,Group,8.9
Number 1 Stay in Bucharest!,Food prices was a bit expensive.,"The location, short walking distance to public transportation, many sights and food places nearby. My number one priority in a lodging is comfort room: sleepily bed and rejuvenating shower. Not only they exceeded my expectations, this hotel provided a gym and laundromat. Also, food was delicious that I tried many things from their menu.",10,May 2024,"May 12, 2024",King Room,2,Solo traveler,8.9
Exceptional,Nothing,Everything,10,May 2024,"May 10, 2024",Queen Room,2,Family,8.9
It was lovely stay overall. Staff was prompt and helpful with questions. We thought the location was amazing.,"The pillows, were super uncomfortable. The buffet breakfast was not appealing",Location,8.0,May 2024,"May 6, 2024",King Room,4,Couple,8.9
Exceptional,,"Good location, friendly staff, very clean rooms. Very good sound insulation on the windows.",10,May 2024,"May 5, 2024",King Room,4,Couple,8.9
Perfect short stay in a luxury hotel,Nothing,"Great Location,Friendly Staff,
Modern New Clean Rooms.
Good Price.",10,April 2024,"May 4, 2024",Queen Room,2,Couple,8.9
"A GREAT, FRIENDLY,PROFESSIONAL OASIS IN THE CRAZINESS OF BUCUREST.",NOTHING,"EXCELLENT BREAKFAST AND THE WONDERFUL DANA AND DANNIELLE WITH THE SMILE AND HELP MADE IT EVEN BETTER.
THANK YOU DANIEL, THEODORA AT THE RECEPTION. ESPECIALLY THANKS TO  CHRISTIAN FOR ALL THE HELP,
PROFESSIONALISM  AND SMILE.WHAT A GUY!!!
THE PRIVATE DRIVER TO THE AIRPORT HIRED BY THE HOTEL WAS AN OASIS IN THE SEVERAL TERRORIZING TAXI 
EXPERIENCES  WE HAD IN BUCUREST.",10,May 2024,"May 2, 2024",Queen Room,2,Couple,8.9
