Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Dissapointed,"When i was doing the check-in there was not order with the guests at the front desk all over, not line even though i was patiently waiting only 2 people working , the facilities at the hotel were not mentioned just kind of "" here is your key, bye bye"" and that's it. Not explaining where where elevator were, nothing mentioned about the breakfast in the morning even though it was included with my room, not mentioned of the Wi-Fi, the check-in  process  was very poor. I didn't find the staff very friendly during check in. First impression! It's nice when staff acknowledge and notice you are there and this was not the case.

1st night couldn't sleep so much noise in the hallway coming from other guests 11-2am. I had to change rooms to another floor next day.

I have a few family members coming to see me that I haven't seen in 25 years, they came in the evening and the staff at the front desk said to them and to me that it was not visiting hours, and they can charge me extra. I felt embarrassed and sad like I mentioned haven't seem them in 25 years it supposed to be exciting to see my family, they couldn't come earlier because there were driving from another city, they were coming for a short visit not to stay with me in my hotel room.
I disagree with this rule its ridiculous. I worked for the hospitality industry and stayed in many hotels and never heard this rule.","Staff was great at the restaurant, great food, great location, comfortable bed.",7.0,May 2024,"May 25, 2024",Executive Twin Room,3,Couple,8.2
Good for a quick transit.,Only stayed for a quick 1 night transit. Breakfast was a very basic buffet.,"Free airport shuttle every 30 min. Nice big room, had a free upgrade. Shower nice, but a bit weird with glass window to shower in a tripple room. Nice for a quick transit, nice and very big bed.",9.0,May 2024,"May 24, 2024",Junior Suite,1,Group,8.2
Very Good,,"Close to the airport, clean rooms and friendly staff",8.0,April 2024,"May 21, 2024",Executive Double Room,1,Solo traveler,8.2
Wonderful,,Everything was good,9.0,May 2024,"May 13, 2024",Executive Double Room,1,Couple,8.2
Good hotel for one night near the aurport,Very noise - all night planes,Easy place for a stopover,7.0,May 2024,"May 11, 2024",Junior Suite,1,Couple,8.2
"Nice hotel, but has gotten expensive over the years and service has not improved. Good stay, not great",Was given a twin room when we ordered a king. King room we were then assigned had no air conditioning. Opened window and there was classical music playing all night long. Had to ask 3 times for towels,Location and cleanliness,8.0,April 2024,"May 9, 2024",King Room,1,Couple,8.2
Good value and close to airport. Good shuttle service.,,Location,7.0,April 2024,"April 30, 2024",Junior Suite,1,Solo traveler,8.2
Good,,"Great location for the airport. Clean and comfortable, nice staff very helpful. Would use again",7.0,April 2024,"April 24, 2024",Executive Double Room,1,Family,8.2
Convenient to Airport,All good,"Was next to the airport, as we had an early morning flight. They were helpful and allowed us to check in earlier than the check-in time (very much appreciated) and there was a 24 hour shuttle to the airport.",9.0,April 2024,"April 24, 2024",Junior Suite,1,Couple,8.2
Nice hotel,"If you have a problem with the itinerary, regarding your booking, they don’t provide you other options or solutions, even they don’t reply to you about of a solution to support you.",,7.0,April 2024,"April 22, 2024",Junior Suite,1,Solo traveler,8.2
Convenient stay,,Very close to airport if landing in late or flying out early. Buffet breakfast and shuttle bus to airport were very convenient.,8.0,April 2024,"April 16, 2024",Junior Suite,1,Couple,8.2
Very Good,Check in takes a lot of time,"Very good breakfast, next to airport",8.0,April 2024,"April 13, 2024",Junior Suite,1,Family,8.2
Best choice for overnight only near Airport,,"The Hotel shuttle bus picks up from the Airport 24/7  ( free of charge )
We left very early and Hotel gave us a take away food + Drink+ Fruit  bag  ( instead of Breakfast )
Nice Shower
Elevator",9.0,March 2024,"April 4, 2024",Junior Suite,1,Group,8.2
Wonderful,,The breakfast was good and the location easy to find and easy to come back to the airport.,9.0,March 2024,"April 3, 2024",King Room,1,Family,8.2
Very Good,,Excellent airport pick-up and drop off,8.0,March 2024,"March 31, 2024",Executive Double Room,1,Couple,8.2
Wonderful,,I most enjoyed the labeling of the trees in the front of the hotel. I've often wondered why a facility like the Habitel Hotel didn't do a similar thing. I always have a little free time and really enjoy a stroll around the grounds. It is nice to have a name on the tree.,9.0,March 2024,"March 23, 2024",Executive Twin Room,1,Solo traveler,8.2
Wonderful,,"Good airport pickup, very close. Nice large room, hot water, internet, very good breakfast included with room. helpful check in personnel.",9.0,March 2024,"March 18, 2024",Executive Double Room,2,Solo traveler,8.2
Wonderful,There was no air conditioning in our room,,9.0,March 2024,"March 18, 2024",Executive Double Room,1,Couple,8.2
Perfect Airport Hotel - difficult to expect more,very small details: i think there’s no gym and they should stop the jazz music in the corridors after 10pm…,"International standards met with this hotel. Very clean, quiet, confortable bed, and tasty restaurant. Wifi is fast. Located 5 min from the airport and 20/30 to downtown (Chapinero), the property offer a bus shuttle from/to the airport 24/7 and also drivers to the city at very reasonable price (aligned with uber). We found it perfect for 1 night.",8.0,March 2024,"March 10, 2024",Standard Quadruple Room,1,Family,8.2
Very good location and airport shuttle service,Room comfortable but rather basic,"Friendly and helpful staff.
Excellent airport shuttle service
Very good breakfast",9.0,March 2024,"March 7, 2024",Executive Twin Room,1,Solo traveler,8.2
Decent hotel close to the airport,There was no water or coffee/tea making options in the room.,"Good sized rooms, good breakfast. Nice staff.",7.0,March 2024,"March 5, 2024",Executive Double Room,1,Solo traveler,8.2
Short but convenient stay. Nice restaurant. Well maintained grounds.,,Proximity to airport,8.0,February 2024,"February 28, 2024",Executive Double Room,1,Solo traveler,8.2
Wonderful,I didn't have air conditioner in the bedroom and it was really hot.,,9.0,January 2024,"February 27, 2024",Executive Double Room,3,Solo traveler,8.2
Comfortable Stay for the Night,"We did not know about the shuttle in advance, and we would have appreciated knowing that.",Great location near the airport with a shuttle to the hotel. Very kind staff. Clean.,8.0,February 2024,"February 25, 2024",Junior Suite,1,Couple,8.2
Good,,"Good shower with hot water, good pressure, clean and spacious rooms",7.0,February 2024,"February 25, 2024",Executive Double Room,1,Couple,8.2
"Perfect location, service, and very nice hotel.","The price was a little high for Bogota, but everything was excellent.","Awesome airport transportation, and great service. Very good hotel.",9.0,February 2024,"February 22, 2024",Junior Suite,1,Solo traveler,8.2
"Great location, but painfully s-l-o-w desk staff","Check-in was painful. When we arrived in the morning, we provided all the needed check-in information. Later, when we returned to the hotel to get a room assignment, we had to repeat the same process all over again – but this time it took 25 minutes, reminding us of the sloth scene in Zootopia. Check out was also painfully slow.  And the room could have used a more thorough cleaning, although it was acceptable.","The Habitel airport hotel was convenient. It’s located just outside the airport, and just a few minutes’ walk to the Transmilenio and bus “CIAC” stop.  There was great coffee in the lobby.  The room was large and comfortable, although it was a bit faded. The shower was A+. We had to leave at 5am, so we missed breakfast – so they made us a bagged breakfast with sandwiches, fruit, and juice.",8.0,February 2024,"February 15, 2024",Junior Suite,1,Couple,8.2
Ideal stopover. They need to improve customer communication,Poor communication didn’t respond to messages,Ideal stopover from the airport. Communication about the shuttle was poor though. They never responded to my multiple questions about that.,8.0,February 2024,"February 14, 2024",Junior Suite,1,Solo traveler,8.2
Functional hotel of satisfactory quality,Nothing,Location. Airport shuttle,8.0,February 2024,"February 14, 2024",Junior Suite,1,Solo traveler,8.2
Near airport & excellent shuttle service plus good breakfast,,Shuttle service was great,8.0,February 2024,"February 12, 2024",Executive Double Room,1,Couple,8.2
Quiet even though 5 minutes from the airport. Efficient and courteous staff. All good for what it was,,A good stopper between flights,8.0,February 2024,"February 11, 2024",Junior Suite,1,Couple,8.2
Convenient airport hotel,,Location near airport. Shuttle easy and 24 hours,8.0,February 2024,"February 8, 2024",Executive Double Room,1,Couple,8.2
Good,Reception staff are extremely slow.,It's close to the airport,7.0,December 2023,"February 4, 2024",King Room,1,Couple,8.2
"Best option close to the El Dorado Airport. Free shuttle, clean and quiet rooms.",Heating is not working very well so the rooms can be a little cold at night.,"Very close to the airport. Rooms are clean and quiet and the beds are comfortable, so a good night rest is not a problem after a long flight. Amazing facilities, restaurant is also good.",9.0,January 2024,"February 3, 2024",Junior Suite,1,Couple,8.2
Great option for airport travel,,"Excellent location for airport travel
Free shuttle bus included in room rate 
Clean",9.0,January 2024,"January 27, 2024",Junior Suite,1,Couple,8.2
It was like a welcome oasis of calm after crowds of people at the airport and in the city.,. We wished that there had been 2 chairs to sit on in our room. A small bedside table on each side of the bed and better overhead lighting whilst in bed as well as a central bedside light switch to turn on and off all the lights in the room would have been helpful.,Comfortable clean hotel with good restaurant and excellent breakfast. Staff were all friendly and helpful. We really liked the potable drinking fountains on every floor. The green areas and outside relaxation space surrounding the hotel.,8.0,January 2024,"January 26, 2024",Executive Double Room,1,Couple,8.2
Wonderful,,Everything,9.0,January 2024,"January 24, 2024",Standard Triple Room,1,Group,8.2
Great location if you want to stay close to the airport.,Expensive options at the restaurant. Better noise isolation required.,Great option for an overnight stay before taking an international flight. Timely shuttle to the airport every 30 minutes.,9.0,January 2024,"January 24, 2024",Standard Quadruple Room,1,Family,8.2
Good,Te staff was a little confused,Comfor,9.0,January 2024,"January 23, 2024",Standard Triple Room,1,Family,8.2
Wonderful,"Many passenger from a delayed flight were sent to this hotel, the queue to check in was more than 45  minutes.","Really good breakfast, near to the airport with free shuttle every 30 minutes from the airport to the hotel and return.",9.0,December 2023,"January 22, 2024",Junior Suite,1,Couple,8.2
