Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Wonderful,Nil,The breakfast and fresh carrot n apple juice which we make instantly,9.0,May 2024,"June 8, 2024",Standard Double Room,3,Couple,8.1
Good,We asked for  a quiet room but were on the first floor above a pedestrian plaza. We were continually woken  by groups of very noisy people going past. Very loud  music was coming from a nearby building one night.,Convenient location  and comfortable room.,7.0,May 2024,"June 1, 2024",Standard Double Room,2,Couple,8.1
Great Location- very friendly staff!,Parking was a little chaotic based on booking.com description & reality,Great central location & friendly staff,8.0,May 2024,"May 31, 2024",Standard Triple Room,2,Family,8.1
Good hotel if no wifi needed,"no wifi in some rooms,  very inconvenient.","Very clean and confortable rooms, central location",8.0,May 2024,"May 30, 2024",Standard Double Room,2,Solo traveler,8.1
Decent stay,"Tea, coffee qty provided in the room was inadequate and was not replenished during our stay. There was no creamer provided just in case one wanted to theirs with milk.  No sugar & no kettle in the room - had to ask for one.  Generally speaking house keeping lacked attention to detail.",,8.0,May 2024,"May 28, 2024",Superior Double Room,2,Couple,8.1
Very Good,,"The room was smaller than excepted. If you removed the internal cupboards, that would give ppl more room for suitcases. Also tea & coffee facilities would be good.",8.0,May 2024,"May 27, 2024",Standard Double Room,3,Couple,8.1
"A good, comfortable, convenient stop-over.",,Very convenient for the centre of town and the station. A nice quiet hotel with great breakfast.,9.0,May 2024,"May 22, 2024",Standard Twin Room,1,Couple,8.1
Our time there was too short,Not keen on having a shower above the bath tub. We prefer a stand alone shower and dont need bath tubs.,"We enjoyed everything, in particular staff. Matthias, who greeted us upon our arrival, was fantastic.",8.0,May 2024,"May 22, 2024",Superior Double Room,2,Couple,8.1
Great place to stay for a short visit to Innsbruck.,Dark wood decor in the room. Room was hot at night.,Staff and location. Shower was lovely and bed was very comfortable. Breakfast had great variety and was plentiful.,8.0,May 2024,"May 22, 2024",Standard Double Room,1,Couple,8.1
Very Good,,Helen at the front desk was very friendly and super helpful!,8.0,May 2024,"May 16, 2024",Standard Double Room,1,Group,8.1
"4 night business stay. Big, high ceilings room. Basic furnishings. Lovely bed.",Im not a fan of old pine furniture! Only 2 coffee pods for a 4 night stay unless I paid.,"Old style Austrian hotel. Smart uniforms, lots of wood etc",7.0,May 2024,"May 8, 2024",Superior Double Room,4,Solo traveler,8.1
Brief but very pleasant first visit to town,Nothing,Very friendly helpful staff. Great location,9.0,May 2024,"May 6, 2024",Standard Double Room,1,Couple,8.1
Wonderful,No view of the hills from the hotel although that's not really a big deal in Innsbruck as you pretty much get great views the moment you step out on the streets.,"140 years old Hotel! Very vintage vibes with a nice modern touch. Stay comes with free access to the infrared room, sauna, gym etc. We got a free upgrade to a bigger room too, so that was lovely. Staff was great and gave us some great recommendations on the city pass, local restaurants and tourist attractions etc.",9.0,April 2024,"May 3, 2024",Standard Double Room,2,Couple,8.1
Very Good,,The location is super 5 minute walk to the city and only 15 minute to main station,8.0,May 2024,"May 3, 2024",Standard Double Room,1,Couple,8.1
Great location and would stay here again if wifi access improved,No wifi in our room. Had to sit in lobby which is not great for a 4 star hotel.,"Location, comfort and friendly front desk staff",7.0,April 2024,"April 30, 2024",Standard Twin Room,2,Family,8.1
Excellent location. Friendly staff. Fair price.,,Proximity between train station and heart of Innsbruck,9.0,April 2024,"April 25, 2024",Standard Double Room,1,Couple,8.1
Wonderful,,Had a pleasant stay. Staff were really helpful. They provided a lot more information related to public transport and breakfast was decent.,9.0,April 2024,"April 23, 2024",Standard Double Room,1,Couple,8.1
Wonderful,,The location is fantastic. The staff in particular were great fun and so helpful.,9.0,April 2024,"April 21, 2024",Standard Double Room,1,Group,8.1
Wonderful,,Location is good & Standard Triple Room is very comfortable.,9.0,April 2024,"April 21, 2024",Standard Triple Room,1,Family,8.1
"Great location, nice staff, beautiful view",,"Close to the center, river and train station. We had a beautiful view of the mountains. Very nice and helpful staff. There is a hotel's cafe with delicious food.",9.0,April 2024,"April 18, 2024",Standard Double Room,1,Family,8.1
"Traditional hotel in the center of Innsbruck, great people and fair prices","The only thing that got me surprised a litle bit is the room I had didn't had ar conditioning. That's a litle surprising for someone comming from Brazil, but it may be OK for a city like Innsbruck where weather is cold most of the year. I'm not sure how it would be during summer, but I was in the room in a very hot day (29 celsius degrees, hot for a April day) and it is was OK.","The Hotel Central is a very traditional hotel in Innsbruck, originaly built by 1880' (yes, it is around 140 years old). The building is very well maintained and the hotel works as expected in any modern hotel. The people managing the hotel is great. The breakfast is served inside the traditional Central Cafe and is good too. Prices for hotel and breakfast are fair.",9.0,April 2024,"April 17, 2024",Standard Double Room,5,Solo traveler,8.1
Wonderful,"No coffee facilities in room, elevator was small and took a while.","The location was excellent, not far from train station and all major attractions. Beds were comfortable. The staff were very helpful at front desk. A big thank you to the boys on afternoon.",9.0,April 2024,"April 16, 2024",Standard Triple Room,2,Family,8.1
Comfortable and good location,"old door, manual key system. key holder too bulky and heavy","Great location. Room is clean and spacious. although property seems old, toilet is newly renovated. Hotel breakfast had a good variety of options",9.0,April 2024,"April 14, 2024",Standard Double Room,2,Couple,8.1
Wonderful,,"Hotel bang in the city center and absolutely wonderful and helpful staff. I had a minor issue which was fixed right away ! The rooms, linens were clean. Nothing to complain about",9.0,April 2024,"April 14, 2024",Standard Double Room,1,Couple,8.1
Wonderful,No tea coffee facilities in the room .,Location perfect.,9.0,April 2024,"April 13, 2024",Standard Double Room,1,Solo traveler,8.1
Wonderful,,Location was very Good..  very near to city center and also to the main train  station. Staff was friendly. Good facilities.,9.0,April 2024,"April 13, 2024",Standard Triple Room,1,Family,8.1
Wonderful,,Nice small hotel - we really enjoyed it and Innsbruck,9.0,April 2024,"April 10, 2024",Standard Double Room,2,Couple,8.1
Very comfortable overnight stay.,,"Great location, excellent cafe.",8.0,March 2024,"April 8, 2024",Standard Double Room,1,Couple,8.1
Overall it was great!,Old and outdated,"The location and the friendly, flexible receptionist",8.0,April 2024,"April 5, 2024",Standard Triple Room,2,Family,8.1
Wonderful,"Not all hotel employees were friendly and it seemed that they were judging you. We decided not to visit the spa center due to the fact that there is  no swimming pool, it is worth paying attention to this when booking","good location, close to the train station and main attractions. The view from the window is incredible, the room is very spacious and clean. The cafe in the hotel pleased with its cuisine, the only minus is that they close early",9.0,March 2024,"April 4, 2024",Standard Triple Room,1,Group,8.1
"Amazing location, friendly staff and great breakfast.","We had some issues with low shower pressure and the staff was amazing at trying to resolve it. We ended up being upgraded, which was a plus.",Breakfast was decent and with several options available. we particularly enjoyed the natural fruit juices.,8.0,January 2024,"April 3, 2024",Standard Double Room,2,Couple,8.1
Wonderful,Restaurant staff were very unfriendly and impatient.,"Room was great, we had 2 storeys with a bedroom & bath up and one bedroom down. Was comfortable. Front desk staff were very friendly. Good view of the mountains",9.0,March 2024,"April 1, 2024",Standard Triple Room,1,Family,8.1
Very Good,,Located in the heart of Innsbruck,8.0,March 2024,"March 27, 2024",Standard Double Room,2,Couple,8.1
Hope to stay longer next time,It was a bit tricky to get to the car park when we went but that was because of road works in the city and not anything the hotel can change.,"Central location and comfortable stay. Good selection at breakfast and the breakfast room is connected to a restaurant where we had dinner. 
It was interesting to read that there is a bus to the ski slopes but we didn’t get a chance to use that on our trip.",9.0,March 2024,"March 27, 2024",Standard Double Room,1,Couple,8.1
Great place to be in innsbruck,,"Nice rooms, nice staff, good breakfast",9.0,March 2024,"March 25, 2024",Standard Double Room,1,Solo traveler,8.1
Very Good,,"Location, beds",8.0,March 2024,"March 25, 2024",Standard Double Room,1,Couple,8.1
Wonderful,no kettle,,9.0,March 2024,"March 25, 2024",Standard Double Room,4,Family,8.1
Smart centrally located hotel,,"Smart hotel in centre of city, unfortunately I was late arriving due to flight being redirected to Munich, and spent less time in hotel than I would have liked.",9.0,February 2024,"March 24, 2024",Standard Double Room,1,Solo traveler,8.1
Very  convenient for train travelling and exceptionally nice staff,"Bed required one person to climb over to get out
Couldn’t switch off light from bed because switch wasn’t working",Location,7.0,March 2024,"March 23, 2024",Standard Triple Room,1,Couple,8.1
Good central hotel. Don’t rely on it for business-grade WiFi.,Wi-Fi was weak and unusable in the room. Attached cafe/bar had slow service and fairly rude staff.,Good location. Well maintained and clean. Good room for the price. Nice little gym. Staff were helpful. Good option if you need a night or two in Innsbruck.,8.0,March 2024,"March 20, 2024",Standard Double Room,1,Solo traveler,8.1
Lovely modern hotel in the heart of the city. Very friendly and helpful staff at the 24 hour recepti,,Lovely modern hotel in the heart of the city. Very friendly and helpful staff at the 24 hour reception.,9.0,March 2024,"March 16, 2024",Standard Double Room,2,Couple,8.1
Comfy room in Central location.,Nothing,Room and sauna,8.0,March 2024,"March 15, 2024",Standard Double Room,1,Solo traveler,8.1
Very relaxing stay in a period property in a great location,,"Very friendly helpful staff.
Excellent sauna with amazing balcony and views.",9.0,March 2024,"March 13, 2024",Standard Double Room,1,Group,8.1
Elegant place to stay in the heart of Innsbruck,"For a hotel of its class, one expects an electric kettle in the room. Hope they will add them in the future.",Hotel located within walking distance of all major attractions. Spacious rooms and bathrooms. Friendly staff.,8.0,March 2024,"March 13, 2024",Standard Double Room,1,Couple,8.1
Reasonably priced 4 star in late winter for a family vacation.,Breakfast is expensive so we ate elsewhere,Great location. Two level family suite. Mountain view. Friendly staff. Nice sauna.,9.0,March 2024,"March 5, 2024",Standard Triple Room,3,Family,8.1
