Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
beautiful,the mattress and below was uncomfortable and hard this is the only point about the hotel,"the staff was the most amazing thing about the hotel, check in check out smooth and very welcoming helpful",9.0,January 2023,"February 1, 2023",Standard King Room,3,Couple,7.7
Wonderful,Tv not working,Stuff hospitality,9.0,January 2023,"January 6, 2023",Standard King Room,1,Couple,7.7
Wonderful,,Stuff hospitality,9.0,December 2022,"January 6, 2023",Standard King Room,1,Couple,7.7
Wonderful,Crowded street during the day,Clean,9.0,December 2022,"January 6, 2023",Standard King Room,1,Couple,7.7
Wonderful,Connected rooms can be noisy,Very clean,9.0,December 2022,"January 6, 2023",Standard King Room,1,Couple,7.7
Very Good,Connecting room is littel noisy,Every thing,8.0,January 2023,"January 3, 2023",Standard King Room,1,Couple,7.7
Wonderful,nothing,"location 
clean
staff",9.0,December 2022,"January 1, 2023",Royal Suite,1,Family,7.7
Nice,,Nice classy hotel with large rooms and comfortable beds. The fully equipped gym deserves an extra mention,9.0,December 2022,"December 28, 2022",Standard King Room,1,Solo traveler,7.7
great value and location,"some of the furniture were old and out dated 
the carpets had stains","location 
staff
quick check in/ out
the room service were fast",8.0,December 2022,"December 12, 2022",Junior Suite,3,Solo traveler,7.7
Perfect .,nothing,"quite hotel, Staff friendly",7.0,November 2022,"December 5, 2022",Standard Twin Room,1,Family,7.7
good,furniture is old no enough blankets,location,9.0,November 2022,"November 23, 2022",Standard Twin Room,3,Couple,7.7
good quite stay with a good value to price,nothing,"Location
clean 
quite",7.0,November 2022,"November 22, 2022",Standard King Room,3,Group,7.7
Very Good,bathroom especially the shower,the vast,8.0,November 2022,"November 11, 2022",Standard King Room,3,Solo traveler,7.7
nice!,the facilities are quite old but ok,breakfast and gym are excellent and so is the location,9.0,October 2022,"November 9, 2022",Standard King Room,5,Solo traveler,7.7
Good experience overall for the money charged,nothing as such,good location and clean rooms with great view,7.0,October 2022,"October 25, 2022",Standard King Room,7,Solo traveler,7.7
very comfortable and excellent staff.,Wi-Fi not in all rooms.,Great staff and great food,9.0,September 2022,"September 20, 2022",Standard King Room,6,Solo traveler,7.7
i would do it again,n/a,"location,"" ""breakfast,"" and ""room",9.0,July 2022,"August 28, 2022",Standard King Room,1,Solo traveler,7.7
Very Good,Nothing,Location,8.0,August 2022,"August 25, 2022",Standard King Room,4,Solo traveler,7.7
overall pleased I will stay again next visit,outside noisy air con units,good reception staff. Good breakfast. comfy beds with good bedding,8.0,June 2022,"June 25, 2022",Junior Suite,5,Solo traveler,7.7
Wonderful,,it is beautiful,9.0,June 2022,"June 24, 2022",Standard King Room,2,Family,7.7
Very Good,All good,"location and the Gyms. 
reception Staff are very professional.",8.0,June 2022,"June 19, 2022",Standard King Room,3,Solo traveler,7.7
Good,"Consumed facility
Most door access cards dont work
Basic breakfast",Value for money,7.0,June 2022,"June 14, 2022",Standard King Room,2,Solo traveler,7.7
good alternative for the more expensive modern hotels in same category - with a splendid gym,not very lively,the gym!,8.0,June 2022,"June 10, 2022",Standard King Room,1,Solo traveler,7.7
very good,"staff should be smiling a bit more in front of the clients, just as a recommendation, but they were friendly and helpful at all times","large breakfast, nice facilities and GYM 
I will consider it again for sure. Staff was friendly and they allowed me late check out without any problem",9.0,June 2022,"June 10, 2022",Standard King Room,4,Solo traveler,7.7
nice hotel,nothing,everything,9.0,June 2022,"June 6, 2022",Standard Twin Room,1,Couple,7.7
Our 1st time in Riyadh,"The room keycard had a bit of a problem, but very minor.",Very spacious suite. Good breakfast. Courteous staff. Ample parking. Smooth check in and late checkout. Beautiful neighbourhood. We enjoyed our stay.,9.0,May 2022,"May 9, 2022",Royal Suite,1,Family,7.7
Great hotel location,,Location is best as its center to all prominent locations in Riyadh,8.0,February 2022,"May 4, 2022",King Jacuzzi Suite,1,Family,7.7
Wonderful,reception they are taking long time to answer your calls,satff friendly,9.0,April 2022,"April 19, 2022",Standard King Room,1,Family,7.7
Wonderful,a bit old furniture.,"near alaqaria, clean and quiet",9.0,March 2022,"March 25, 2022",Standard King Room,1,Solo traveler,7.7
Wonderful,Bad smell in the room,Every thing was perfect,9.0,March 2022,"March 15, 2022",Royal Suite,4,Family,7.7
Wonderful,,the location and staff,9.0,February 2022,"February 23, 2022",Standard King Room,1,Couple,7.7
Wonderful,,this hotel is located in the middle of every where. very clean and the room is spacious,9.0,January 2022,"February 3, 2022",Standard Twin Room,3,Family,7.7
Very Good,,"location, clean",8.0,January 2022,"January 22, 2022",Standard King Room,6,Solo traveler,7.7
Very Good,"- The room view
- Decor is old","- location 
- staff is friendly",8.0,December 2021,"January 21, 2022",Standard King Room,1,Solo traveler,7.7
nice choice,nothing to mention,the staff was really fast and friendly,8.0,January 2022,"January 8, 2022",Junior Suite,1,Group,7.7
great location and spacious room,ma,good location and spacious room,9.0,January 2022,"January 8, 2022",Standard Twin Room,2,Couple,7.7
is one of the most comfortable hotels,just the facility is old,"it’s clean, service was good",9.0,December 2021,"December 25, 2021",Standard Twin Room,2,Couple,7.7
